Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data,Citigroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,62.64,,0.0
2024-06-30,62.83,$-12.21,0.0
2024-03-31,62.08,$-30.84,0.0
2023-12-31,50.02,$-40.87,0.0
2023-09-30,39.5,$-32.18,0.0
2023-06-30,43.71,$-40.63,0.0
2023-03-31,44.04,$-1.16,0.0
2022-12-31,42.06,$9.93,4.24
2022-09-30,38.31,$-2.42,0.0
2022-06-30,41.88,$16.57,2.53
2022-03-31,48.11,$5.13,9.39
2021-12-31,53.99,$21.06,2.56
2021-09-30,62.29,$26.80,2.32
2021-06-30,62.32,$7.56,8.24
2021-03-31,63.63,$10.16,6.26
2020-12-31,53.46,$-12.81,0.0
2020-09-30,36.92,$-1.96,0.0
2020-06-30,43.32,$0.12,357.75
2020-03-31,35.31,$-4.00,0.0
2019-12-31,66.53,$-7.96,0.0
2019-09-30,57.13,$-15.43,0.0
2019-06-30,57.48,$-7.21,0.0
2019-03-31,51.07,$-5.25,0.0
2018-12-31,42.43,$13.39,3.17
2018-09-30,58.08,$8.86,6.55
2018-06-30,53.84,$6.73,8.0
2018-03-31,54.05,$-0.64,0.0
2017-12-31,59.34,$-4.36,0.0
2017-09-30,57.76,$6.50,8.89
2017-06-30,52.86,$2.58,20.47
2017-03-31,47.15,$16.89,2.79
2016-12-31,46.71,$17.88,2.61
2016-09-30,37.0,$8.48,4.36
2016-06-30,33.09,$13.54,2.44
2016-03-31,32.55,$11.51,2.83
2015-12-31,40.3,$12.34,3.27
2015-09-30,38.6,$16.28,2.37
2015-06-30,42.94,$12.14,3.54
2015-03-31,40.01,$5.37,7.46
2014-12-31,42.01,$14.35,2.93
2014-09-30,40.23,$12.21,3.3
2014-06-30,36.56,$13.37,2.73
2014-03-31,36.94,$33.63,1.1
2013-12-31,40.43,$17.70,2.28
2013-09-30,37.63,$17.99,2.09
2013-06-30,37.2,$11.50,3.24
2012-12-31,30.66,$-4.27,0.0
2012-09-30,25.36,$15.05,1.68
2012-06-30,21.23,$21.79,0.97
2012-03-31,28.3,$32.27,0.88
2011-12-31,20.37,$30.46,0.67
2013-03-31,34.3,$17.84,1.92
2011-09-30,19.82,$13.49,1.47
2011-06-30,32.22,$-0.73,0.0
2011-03-31,34.19,$0.17,198.66
2010-12-31,36.59,$12.11,3.02
2010-09-30,30.24,$-26.16,0.0
2010-06-30,29.08,$-0.46,0.0
2010-03-31,31.33,$-16.78,0.0
2009-12-31,25.6,$-41.80,0.0
