Axon Enterprise Price to Free Cash Flow Ratio Historical Data,Axon Enterprise Price to Free Cash Flow Ratio Historical Data,Axon Enterprise Price to Free Cash Flow Ratio Historical Data,Axon Enterprise Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,364.97,,135.55
2024-06-30,294.24,$2.69,109.28
2024-03-31,312.88,$2.18,143.48
2023-12-31,258.33,$1.72,150.26
2023-09-30,198.99,$1.83,108.81
2023-06-30,195.12,$1.55,125.97
2023-03-31,224.85,$1.23,182.89
2022-12-31,165.93,$2.48,66.92
2022-09-30,115.75,$0.92,125.56
2022-06-30,93.17,$0.50,186.04
2022-03-31,137.73,$0.71,193.22
2021-12-31,157.0,$1.13,139.21
2021-09-30,175.02,$1.46,120.02
2021-06-30,176.8,$0.78,226.7
2021-03-31,142.42,$0.05,2877.17
2020-12-31,122.53,$-0.55,0.0
2020-09-30,90.7,$-0.27,0.0
2020-06-30,98.13,$0.76,128.58
2020-03-31,70.77,$1.34,52.91
2019-12-31,73.28,$0.83,88.43
2019-09-30,56.78,$0.61,93.25
2019-06-30,64.21,$0.54,119.79
2019-03-31,54.41,$0.28,196.36
2018-12-31,43.75,$0.91,48.05
2018-09-30,68.43,$0.86,79.78
2018-06-30,63.18,$0.69,91.72
2018-03-31,39.31,$0.63,62.6
2017-12-31,26.5,$0.15,176.9
2017-09-30,22.67,$-0.33,0.0
2017-06-30,25.14,$-0.19,0.0
2017-03-31,22.79,$0.03,775.17
2016-12-31,24.24,$0.30,80.0
2016-09-30,28.61,$0.61,47.07
2016-06-30,24.88,$0.73,34.05
2016-03-31,19.63,$0.62,31.82
2015-12-31,17.29,$0.74,23.34
2015-09-30,22.03,$0.71,31.19
2015-06-30,33.31,$0.69,48.59
2015-03-31,24.11,$0.77,31.25
2014-12-31,26.48,$0.60,43.82
2014-09-30,15.44,$0.54,28.74
2014-06-30,13.3,$0.44,30.43
2014-03-31,18.29,$0.55,33.03
2013-12-31,15.88,$0.57,28.03
2013-09-30,14.88,$0.45,32.96
2013-06-30,8.52,$0.45,19.13
2013-03-31,7.95,$0.48,16.66
2012-12-31,8.94,$0.46,19.39
2012-09-30,6.04,$0.46,13.23
2012-06-30,5.24,$0.35,14.83
2012-03-31,4.34,$0.26,16.81
2011-12-31,5.12,$0.26,19.56
2011-09-30,4.31,$0.27,15.92
2011-06-30,4.55,$0.18,25.62
2011-03-31,4.06,$0.16,26.11
2010-12-31,4.7,$-0.05,0.0
2010-09-30,3.88,$-0.09,0.0
2010-06-30,3.9,$-0.21,0.0
2010-03-31,5.87,$-0.35,0.0
2009-12-31,4.38,$-0.06,0.0
