Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data,Texas Instruments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,214.34,,116.35
2024-06-30,193.3,$1.84,104.93
2024-03-31,171.88,$1.24,138.83
2023-12-31,166.84,$1.48,113.04
2023-09-30,154.21,$1.77,86.99
2023-06-30,173.38,$3.45,50.21
2023-03-31,177.82,$4.77,37.27
2022-12-31,156.82,$6.40,24.51
2022-09-30,145.79,$6.48,22.51
2022-06-30,143.8,$6.39,22.49
2022-03-31,170.55,$6.98,24.44
2021-12-31,174.06,$6.80,25.58
2021-09-30,176.43,$7.70,22.93
2021-06-30,175.56,$7.01,25.06
2021-03-31,171.57,$6.88,24.92
2020-12-31,148.09,$5.97,24.82
2020-09-30,127.94,$5.52,23.2
2020-06-30,112.98,$6.07,18.61
2020-03-31,88.19,$5.96,14.8
2019-12-31,112.41,$6.13,18.35
2019-09-30,112.38,$6.31,17.81
2019-06-30,99.2,$6.14,16.16
2019-03-31,91.68,$6.11,15.01
2018-12-31,81.07,$6.13,13.23
2018-09-30,91.29,$5.95,15.34
2018-06-30,93.29,$5.71,16.34
2018-03-31,87.39,$4.88,17.92
2017-12-31,87.36,$4.65,18.78
2017-09-30,74.5,$4.24,17.56
2017-06-30,63.54,$4.00,15.88
2017-03-31,66.13,$4.18,15.84
2016-12-31,59.52,$4.00,14.88
2016-09-30,56.83,$4.16,13.67
2016-06-30,50.45,$4.11,12.27
2016-03-31,45.95,$3.85,11.93
2015-12-31,43.53,$3.79,11.48
2015-09-30,39.08,$3.67,10.66
2015-06-30,40.37,$3.63,11.12
2015-03-31,44.55,$3.60,12.37
2014-12-31,41.39,$3.53,11.73
2014-09-30,36.66,$3.22,11.39
2014-06-30,36.5,$2.94,12.41
2014-03-31,35.79,$2.81,12.72
2013-12-31,33.09,$2.69,12.3
2013-09-30,30.14,$2.57,11.74
2013-06-30,25.88,$2.57,10.08
2013-03-31,26.15,$2.51,10.41
2012-12-31,22.62,$2.55,8.88
2012-09-30,20.03,$2.37,8.44
2012-06-30,20.72,$2.28,9.08
2012-03-31,24.15,$2.12,11.37
2011-12-31,20.81,$2.10,9.92
2011-09-30,18.95,$2.28,8.3
2011-06-30,23.24,$2.23,10.44
2011-03-31,24.38,$2.16,11.29
2010-12-31,22.84,$2.28,10.0
2010-09-30,18.99,$1.86,10.21
2010-06-30,16.21,$1.56,10.42
2010-03-31,16.96,$1.72,9.86
2009-12-31,17.97,$1.49,12.06
