Brown-Forman Price to Free Cash Flow Ratio Historical Data,Brown-Forman Price to Free Cash Flow Ratio Historical Data,Brown-Forman Price to Free Cash Flow Ratio Historical Data,Brown-Forman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,45.59,,51.92
2024-04-30,47.85,$0.88,54.5
2024-01-31,54.9,$0.79,69.35
2023-10-31,56.16,$0.48,117.79
2023-07-31,70.6,$0.64,110.85
2023-04-30,65.09,$0.95,68.43
2023-01-31,66.58,$1.00,66.51
2022-10-31,68.0,$1.57,43.28
2022-07-31,74.22,$1.60,46.5
2022-04-30,67.44,$1.66,40.61
2022-01-31,67.43,$1.76,38.25
2021-10-31,67.89,$1.67,40.63
2021-07-31,70.92,$1.77,40.11
2021-04-30,76.11,$1.57,48.46
2021-01-31,71.33,$1.49,47.8
2020-10-31,69.22,$1.51,45.82
2020-07-31,68.7,$1.32,51.9
2020-04-30,61.47,$1.27,48.33
2020-01-31,66.66,$1.27,52.5
2019-10-31,64.4,$1.25,51.56
2019-07-31,53.73,$0.43,124.17
2019-04-30,52.08,$0.42,124.8
2019-01-31,46.02,$0.71,64.99
2018-10-31,44.98,$0.29,153.25
2018-04-30,54.08,$1.09,49.79
2018-01-31,52.39,$1.90,27.61
2017-10-31,42.97,$1.43,29.98
2017-07-31,37.11,$1.78,20.9
2017-04-30,35.42,$1.66,21.32
2018-07-31,51.5,$0.99,52.26
2017-01-31,34.01,$0.88,38.82
2016-10-31,34.29,$0.17,201.72
2016-07-31,36.34,$0.51,71.47
2016-04-30,35.53,$0.79,44.74
2016-01-31,35.96,$0.56,64.13
2015-04-30,32.84,$0.92,35.85
2015-01-31,32.23,$1.32,24.38
2014-10-31,33.5,$0.43,77.42
2014-07-31,31.22,$0.87,36.1
2014-04-30,32.23,$0.85,37.91
2015-10-31,38.9,$0.19,208.13
2014-01-31,27.57,$0.81,33.88
2013-10-31,26.03,$0.85,30.62
2013-07-31,25.76,$0.82,31.48
2013-04-30,24.95,$0.82,30.34
2013-01-31,22.82,$0.84,27.11
2012-10-31,21.21,$0.83,25.57
2012-07-31,20.58,$0.87,23.59
2012-04-30,18.92,$0.85,22.31
2012-01-31,17.71,$0.79,22.54
2011-10-31,16.23,$0.84,19.21
2011-07-31,15.9,$0.83,19.08
2011-04-30,15.46,$0.91,16.99
2011-01-31,14.21,$1.42,10.03
2010-10-31,12.78,$1.24,10.31
2010-07-31,13.22,$1.49,8.85
2010-04-30,12.1,$1.46,8.29
2015-07-31,39.59,$0.94,41.97
2010-01-31,10.62,$0.98,10.88
2009-10-31,10.04,$1.13,8.92
