Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,141.29,,33.78
2024-05-31,116.86,$4.18,27.94
2024-02-29,111.01,$4.38,25.34
2023-11-30,115.07,$3.61,31.84
2023-08-31,118.77,$3.37,35.29
2023-05-31,104.15,$3.06,34.01
2023-02-28,85.56,$2.62,32.71
2022-11-30,80.98,$3.03,26.7
2022-08-31,71.95,$1.99,36.09
2022-05-31,69.48,$1.80,38.5
2022-02-28,73.1,$2.23,32.77
2021-11-30,87.0,$2.67,32.56
2021-08-31,85.16,$6.06,14.04
2021-05-31,74.96,$5.50,13.63
2021-02-28,61.15,$4.99,12.24
2020-08-31,53.82,$3.64,14.77
2020-05-31,50.36,$3.51,14.33
2020-02-29,46.12,$3.56,12.94
2019-11-30,52.11,$3.50,14.91
2019-08-31,48.11,$3.52,13.69
2019-05-31,46.57,$3.45,13.48
2019-02-28,47.77,$3.40,14.03
2018-11-30,44.51,$3.43,12.96
2018-08-31,44.34,$1.94,22.91
2018-05-31,42.48,$1.28,33.21
2018-02-28,45.88,$0.87,53.03
2017-11-30,44.25,$0.16,276.22
2017-05-31,40.63,$2.87,14.15
2017-02-28,37.96,$3.42,11.09
2016-11-30,35.68,$4.31,8.28
2016-08-31,36.45,$4.98,7.32
2016-05-31,35.42,$3.76,9.43
2017-08-31,45.22,$3.51,12.88
2016-02-29,32.29,$2.96,10.92
2015-11-30,34.07,$2.18,15.61
2015-08-31,32.3,$2.53,12.78
2015-05-31,37.73,$1.49,25.26
2015-02-28,37.88,$2.06,18.39
2020-11-30,54.51,$3.00,18.16
2014-11-30,36.56,$3.19,11.45
2014-08-31,35.69,$3.24,11.03
2014-05-31,36.01,$3.11,11.56
2014-02-28,33.41,$3.09,10.83
2013-11-30,30.05,$3.10,9.69
2013-08-31,27.04,$3.00,9.03
2013-05-31,28.56,$2.80,10.19
2013-02-28,28.94,$2.66,10.89
2012-11-30,27.05,$2.58,10.48
2012-08-31,26.55,$2.67,9.95
2012-05-31,22.16,$2.57,8.62
2012-02-29,24.44,$2.55,9.57
2011-11-30,26.14,$2.48,10.53
2011-08-31,23.35,$2.41,9.68
2011-05-31,28.42,$2.12,13.41
2011-02-28,27.27,$1.87,14.58
2010-11-30,22.38,$1.70,13.15
2010-08-31,18.05,$0.89,20.33
2010-05-31,18.61,$0.53,35.27
2010-02-28,20.28,$0.46,44.44
2009-11-30,18.13,$0.85,21.41
