Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data,Kinder Morgan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,21.57,,22.85
2024-06-30,19.6,$0.94,20.77
2024-03-31,17.82,$0.92,19.36
2023-12-31,16.86,$1.03,16.35
2023-09-30,15.58,$1.52,10.26
2023-06-30,15.92,$1.26,12.63
2023-03-31,15.93,$1.34,11.9
2022-12-31,16.2,$1.27,12.76
2022-09-30,14.68,$1.41,10.39
2022-06-30,14.56,$1.05,13.81
2022-03-31,16.18,$1.04,15.57
2021-12-31,13.36,$1.45,9.21
2021-09-30,13.87,$1.77,7.84
2021-06-30,14.88,$2.38,6.25
2021-03-31,13.38,$2.23,6.0
2020-12-31,10.79,$1.72,6.26
2020-09-30,9.52,$1.29,7.39
2020-06-30,11.5,$1.22,9.46
2020-03-31,10.36,$1.27,8.18
2019-12-31,15.57,$1.10,14.21
2019-09-30,14.97,$1.13,13.27
2019-06-30,14.99,$0.98,15.35
2019-03-31,14.19,$0.91,15.57
2018-12-31,10.78,$0.99,10.84
2018-09-30,12.29,$0.67,18.27
2018-06-30,12.11,$0.74,16.3
2018-03-31,10.19,$0.67,15.27
2017-12-31,12.15,$0.68,17.74
2017-09-30,12.8,$0.79,16.3
2017-06-30,12.71,$0.90,14.12
2017-03-31,14.34,$1.01,14.15
2016-12-31,13.58,$0.84,16.17
2016-09-30,15.07,$0.92,16.32
2016-06-30,12.13,$0.65,18.78
2016-03-31,11.49,$0.37,30.87
2015-12-31,9.52,$-0.28,0.0
2015-09-30,17.33,$-1.75,0.0
2015-06-30,23.71,$-1.50,0.0
2015-03-31,25.69,$-1.40,0.0
2014-12-31,25.56,$-0.47,0.0
2014-09-30,22.9,$1.28,17.87
2014-06-30,21.41,$1.24,17.29
2014-03-31,18.94,$1.00,18.98
2013-12-31,20.74,$0.92,22.59
2013-09-30,20.26,$0.59,34.39
2013-06-30,21.5,$0.61,35.28
2013-03-31,21.59,$0.65,33.33
2012-12-31,19.53,$0.63,30.85
2012-09-30,19.43,$0.47,41.22
2012-06-30,17.45,$-0.09,0.0
2012-03-31,20.75,$0.04,582.88
2011-12-31,17.11,$0.01,0.0
