Interpublic Group Of Price to Free Cash Flow Ratio Historical Data,Interpublic Group Of Price to Free Cash Flow Ratio Historical Data,Interpublic Group Of Price to Free Cash Flow Ratio Historical Data,Interpublic Group Of Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,32.61,,13.59
2024-06-30,29.09,$2.40,12.13
2024-03-31,32.63,$1.97,16.6
2023-12-31,32.3,$0.97,33.2
2023-09-30,28.08,$1.93,14.51
2023-06-30,37.44,$1.47,25.39
2023-03-31,35.85,$1.34,26.69
2022-12-31,31.79,$1.17,27.07
2022-09-30,24.23,$1.53,15.8
2022-06-30,25.78,$2.32,11.11
2022-03-31,32.89,$3.75,8.76
2021-12-31,34.48,$4.72,7.3
2021-09-30,33.49,$4.94,6.77
2021-06-30,29.45,$5.78,5.09
2021-03-31,26.26,$4.39,5.98
2020-12-31,20.94,$4.27,4.9
2020-09-30,14.67,$3.20,4.58
2020-06-30,14.89,$1.98,7.53
2020-03-31,13.84,$2.91,4.76
2019-12-31,19.52,$3.40,5.74
2019-09-30,18.03,$2.85,6.32
2019-06-30,18.67,$2.89,6.46
2019-03-31,17.17,$2.63,6.52
2018-12-31,16.69,$1.00,16.73
2018-09-30,18.34,$1.34,13.71
2018-06-30,18.63,$0.79,23.52
2018-03-31,18.13,$0.86,21.16
2017-12-31,15.73,$1.83,8.61
2017-09-30,16.08,$0.49,32.94
2017-06-30,18.85,$1.72,10.99
2017-03-31,18.7,$1.43,13.03
2016-12-31,17.68,$0.77,23.11
2016-09-30,16.78,$1.69,9.93
2016-06-30,17.23,$1.13,15.27
2016-03-31,17.01,$1.55,10.95
2015-12-31,17.14,$1.27,13.51
2015-09-30,14.01,$1.63,8.57
2015-06-30,14.02,$1.36,10.3
2015-03-31,16.0,$1.12,14.31
2014-12-31,14.95,$1.29,11.61
2014-09-30,13.12,$1.09,12.06
2014-06-30,13.91,$0.96,14.45
2014-03-31,12.16,$1.11,10.93
2013-12-31,12.49,$0.98,12.78
2013-09-30,12.07,$0.36,33.58
2013-06-30,10.17,$-0.20,0.0
2013-03-31,9.06,$-0.33,0.0
2012-12-31,7.62,$0.39,19.51
2012-09-30,7.65,$0.03,230.97
2012-06-30,7.42,$0.61,12.18
2012-03-31,7.76,$0.78,10.0
2011-12-31,6.58,$0.25,26.71
2011-09-30,4.84,$0.75,6.49
2011-06-30,8.33,$0.56,15.0
2011-03-31,8.34,$0.81,10.31
2010-12-31,7.01,$1.33,5.27
2010-09-30,6.62,$1.01,6.57
2010-06-30,4.71,$1.20,3.92
2010-03-31,5.49,$0.96,5.72
2009-12-31,4.87,$0.93,5.23
