Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data,Edison Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,87.03,,0.0
2024-06-30,71.04,$-3.55,0.0
2024-03-31,69.97,$-2.25,0.0
2023-12-31,69.93,$-5.32,0.0
2023-09-30,61.24,$-4.98,0.0
2023-06-30,65.73,$-8.04,0.0
2023-03-31,66.81,$-9.29,0.0
2022-12-31,59.59,$-6.69,0.0
2022-09-30,52.39,$-8.44,0.0
2022-06-30,57.23,$-7.86,0.0
2022-03-31,63.44,$-12.16,0.0
2021-12-31,61.15,$-14.46,0.0
2021-09-30,49.19,$-15.29,0.0
2021-06-30,50.09,$-16.70,0.0
2021-03-31,50.77,$-12.05,0.0
2020-12-31,53.83,$-11.29,0.0
2020-09-30,43.1,$-10.32,0.0
2020-06-30,44.96,$-15.22,0.0
2020-03-31,45.35,$-15.18,0.0
2019-12-31,61.72,$-15.20,0.0
2019-09-30,61.21,$-13.48,0.0
2019-06-30,53.78,$-6.21,0.0
2019-03-31,49.4,$-5.88,0.0
2018-12-31,44.85,$-4.09,0.0
2018-09-30,52.9,$-3.79,0.0
2018-06-30,49.01,$-2.66,0.0
2018-03-31,48.84,$-1.42,0.0
2017-12-31,48.06,$-0.75,0.0
2017-09-30,58.1,$-0.61,0.0
2017-06-30,58.46,$-1.28,0.0
2017-03-31,59.11,$-1.39,0.0
2016-12-31,53.09,$-1.50,0.0
2016-09-30,52.88,$0.96,55.1
2016-06-30,56.48,$0.97,58.16
2016-03-31,51.95,$1.50,34.74
2015-12-31,42.5,$0.86,49.24
2015-09-30,44.91,$-0.40,0.0
2015-06-30,39.31,$0.49,80.99
2015-03-31,43.86,$-1.78,0.0
2014-12-31,45.67,$-2.00,0.0
2014-09-30,38.76,$-1.78,0.0
2014-06-30,40.03,$-3.41,0.0
2014-03-31,38.76,$-1.07,0.0
2013-12-31,31.49,$-1.37,0.0
2013-09-30,31.09,$-1.35,0.0
2013-06-30,32.27,$-0.99,0.0
2013-03-31,33.48,$-2.01,0.0
2012-12-31,29.86,$-2.12,0.0
2012-09-30,29.97,$-1.54,0.0
2012-06-30,30.09,$-0.40,0.0
2012-03-31,27.49,$-0.95,0.0
2011-12-31,26.57,$-0.66,0.0
2011-09-30,24.35,$-1.76,0.0
2011-06-30,24.46,$-0.68,0.0
2011-03-31,22.91,$-1.11,0.0
2010-12-31,23.96,$-0.92,0.0
2010-09-30,21.17,$2.99,7.07
2010-06-30,19.35,$2.24,8.64
2010-03-31,20.65,$2.85,7.25
2009-12-31,20.82,$3.62,5.76
