Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,117.94,,161.98
2024-06-30,114.21,$0.73,156.86
2023-12-31,97.48,$9.26,10.52
2023-09-30,113.6,$19.78,5.74
2023-06-30,102.76,$19.34,5.31
2023-03-31,104.16,$23.39,4.45
2022-12-31,103.97,$24.57,4.23
2024-03-31,114.39,$14.63,7.82
2022-09-30,81.64,$15.85,5.15
2022-06-30,79.33,$12.50,6.35
2022-03-31,75.74,$10.19,7.43
2021-12-31,55.49,$9.18,6.05
2021-09-30,52.62,$5.71,9.22
2021-06-30,55.59,$3.93,14.15
2021-03-31,48.5,$1.15,42.11
2020-12-31,35.2,$-0.38,0.0
2020-09-30,28.64,$-0.78,0.0
2020-06-30,36.59,$-0.39,0.0
2020-03-31,30.47,$0.60,51.12
2019-12-31,55.19,$1.25,44.01
2019-09-30,55.17,$1.93,28.65
2019-06-30,59.13,$2.65,22.28
2019-03-31,61.65,$3.37,18.27
2018-12-31,51.46,$3.85,13.36
2018-09-30,63.51,$3.95,16.06
2018-06-30,61.17,$3.19,19.2
2018-03-31,54.61,$3.41,16.04
2017-12-31,60.61,$3.45,17.59
2017-09-30,58.86,$3.59,16.39
2017-06-30,57.4,$3.45,16.66
2017-03-31,57.77,$2.62,22.07
2016-12-31,63.0,$1.42,44.46
2016-09-30,60.39,$0.16,386.12
2016-06-30,64.3,$0.35,182.21
2016-03-31,56.86,$0.70,81.81
2015-12-31,52.54,$0.92,57.21
2015-09-30,49.67,$0.98,50.45
2015-06-30,55.07,$1.32,41.7
2015-03-31,55.79,$1.32,42.32
2014-12-31,60.23,$2.84,21.2
2014-09-30,60.83,$3.59,16.96
2014-06-30,64.67,$3.58,18.05
2014-03-31,62.32,$2.98,20.9
2013-12-31,64.12,$2.54,25.2
2013-09-30,54.14,$2.81,19.27
2013-06-30,56.46,$3.03,18.64
2013-03-31,55.92,$3.66,15.26
2012-12-31,53.37,$4.73,11.28
2012-09-30,56.03,$4.48,12.51
2012-06-30,52.09,$4.83,10.79
2012-03-31,52.44,$5.45,9.62
2011-12-31,50.96,$5.00,10.19
2011-09-30,43.41,$5.82,7.46
2011-06-30,48.31,$5.13,9.42
2011-03-31,49.66,$4.83,10.28
2010-12-31,42.93,$4.40,9.76
2010-09-30,36.05,$3.53,10.23
2010-06-30,33.06,$3.35,9.87
2010-03-31,38.54,$1.91,20.16
2009-12-31,38.98,$1.23,31.77
