CocaCola Price to Free Cash Flow Ratio Historical Data,CocaCola Price to Free Cash Flow Ratio Historical Data,CocaCola Price to Free Cash Flow Ratio Historical Data,CocaCola Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,72.47,,34.45
2024-06-30,63.65,$2.10,30.25
2024-03-31,60.71,$2.33,26.11
2023-12-31,58.01,$2.26,25.63
2023-09-30,54.68,$2.36,23.18
2023-06-30,58.36,$2.20,26.5
2023-03-31,59.67,$2.09,28.55
2022-12-31,60.72,$2.21,27.49
2022-09-30,53.11,$2.33,22.75
2022-06-30,59.2,$2.38,24.85
2022-03-31,57.92,$2.39,24.28
2021-12-31,54.9,$2.62,20.96
2021-09-30,48.26,$2.72,17.74
2021-06-30,49.4,$2.68,18.45
2021-03-31,47.76,$2.31,20.72
2020-12-31,49.28,$2.05,24.05
2020-09-30,44.01,$1.74,25.3
2020-06-30,39.51,$1.85,21.38
2020-03-31,38.78,$2.15,18.02
2019-12-31,48.11,$2.18,22.09
2019-09-30,46.96,$2.11,22.3
2019-06-30,43.6,$1.87,23.33
2019-03-31,39.82,$1.48,26.86
2018-12-31,39.88,$1.47,27.1
2018-09-30,38.6,$1.25,30.76
2018-06-30,36.34,$1.14,31.91
2018-03-31,35.67,$1.26,28.33
2017-12-31,37.35,$1.25,29.91
2017-09-30,36.34,$1.42,25.54
2017-06-30,35.93,$1.49,24.19
2017-03-31,33.72,$1.59,21.26
2016-12-31,32.65,$1.53,21.35
2016-09-30,33.05,$1.49,22.11
2016-06-30,35.11,$1.55,22.68
2016-03-31,35.65,$1.61,22.18
2015-12-31,32.76,$1.83,17.91
2015-09-30,30.37,$1.97,15.42
2015-06-30,29.44,$2.01,14.66
2015-03-31,30.18,$1.99,15.2
2014-12-31,31.17,$1.89,16.45
2014-09-30,31.28,$1.89,16.51
2014-06-30,30.83,$1.95,15.82
2014-03-31,27.93,$1.95,14.34
2013-12-31,29.61,$1.80,16.48
2013-09-30,26.96,$1.82,14.82
2013-06-30,28.34,$1.76,16.11
2013-03-31,28.38,$1.77,16.07
2012-12-31,25.26,$1.75,14.46
2012-09-30,26.25,$1.66,15.78
2012-06-30,26.87,$1.53,17.51
2012-03-31,25.26,$1.44,17.54
2011-12-31,23.71,$1.43,16.55
2011-09-30,22.73,$1.38,16.48
2011-06-30,22.49,$1.38,16.25
2011-03-31,22.01,$1.37,16.08
2010-12-31,21.67,$1.60,13.57
2010-09-30,19.15,$1.58,12.11
2010-06-30,16.28,$1.52,10.73
2010-03-31,17.71,$1.47,12.07
2009-12-31,18.2,$1.35,13.47
