Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data,Ventas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,62.11,,28.84
2024-06-30,50.81,$2.15,23.59
2024-03-31,43.16,$2.16,19.97
2023-12-31,48.9,$2.12,23.05
2023-09-30,40.96,$2.17,18.89
2023-06-30,45.48,$2.22,20.52
2023-03-31,41.31,$2.13,19.4
2022-12-31,42.49,$2.23,19.09
2022-09-30,37.51,$2.24,16.72
2022-06-30,47.5,$2.12,22.42
2022-03-31,56.54,$2.22,25.51
2021-12-31,46.46,$2.18,21.35
2021-09-30,49.74,$2.30,21.59
2021-06-30,51.03,$2.89,17.67
2021-03-31,47.29,$3.24,14.58
2020-12-31,43.12,$3.46,12.47
2020-09-30,36.56,$3.67,9.97
2020-06-30,31.57,$3.40,9.28
2020-03-31,22.82,$3.36,6.8
2019-12-31,47.76,$3.46,13.79
2019-09-30,59.58,$3.46,17.21
2019-06-30,55.17,$3.45,15.98
2019-03-31,50.91,$3.55,14.35
2018-12-31,46.17,$3.48,13.28
2018-09-30,42.86,$3.46,12.37
2018-06-30,44.24,$3.61,12.24
2018-03-31,37.95,$3.52,10.8
2017-12-31,45.26,$3.61,12.52
2017-09-30,48.48,$3.70,13.09
2017-06-30,51.15,$3.62,14.12
2017-03-31,47.33,$3.70,12.78
2016-12-31,44.95,$3.55,12.66
2016-09-30,50.15,$3.68,13.62
2016-06-30,51.15,$3.64,14.05
2016-03-31,43.74,$3.63,12.04
2015-12-31,38.7,$3.87,10.01
2015-09-30,37.94,$3.84,9.89
2015-06-30,36.33,$4.06,8.94
2015-03-31,42.21,$4.01,10.53
2014-12-31,41.02,$3.93,10.42
2014-09-30,35.05,$4.03,8.71
2014-06-30,35.86,$4.05,8.85
2014-03-31,33.51,$3.96,8.46
2013-12-31,31.33,$3.77,8.31
2013-09-30,33.2,$3.55,9.35
2013-06-30,37.09,$3.25,11.4
2013-03-31,38.73,$3.04,12.72
2012-12-31,33.92,$3.14,10.82
2012-09-30,32.31,$3.95,8.19
2012-06-30,32.45,$3.65,8.88
2012-03-31,29.04,$3.18,9.13
2011-12-31,27.73,$3.13,8.86
2011-09-30,24.57,$2.03,12.08
2011-06-30,25.93,$2.42,10.71
2011-03-31,26.43,$2.77,9.53
2010-12-31,25.26,$2.72,9.28
2010-09-30,24.56,$2.79,8.8
2010-06-30,22.13,$2.73,8.11
2010-03-31,22.12,$2.63,8.4
2009-12-31,20.14,$2.69,7.49
