Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,267.55,,40.38
2024-06-30,268.92,$6.63,40.59
2024-03-31,259.66,$8.29,31.32
2023-12-31,212.37,$6.07,34.96
2023-09-30,199.5,$7.93,25.16
2023-06-30,216.2,$5.94,36.38
2023-03-31,228.71,$-0.45,0.0
2022-12-31,217.94,$0.95,228.33
2022-09-30,179.32,$-3.54,0.0
2022-06-30,186.17,$2.56,72.84
2021-12-31,226.94,$4.42,51.4
2021-09-30,192.27,$14.11,13.62
2021-06-30,176.1,$14.50,12.15
2021-03-31,167.13,$9.45,17.69
2020-12-31,132.28,$16.10,8.22
2022-03-31,222.92,$6.71,33.24
2020-09-30,134.46,$9.85,13.65
2020-06-30,123.31,$10.52,11.72
2020-03-31,78.86,$5.75,13.72
2019-12-31,86.85,$4.94,17.57
2019-09-30,83.76,$4.34,19.31
2019-06-30,100.4,$4.29,23.4
2019-03-31,89.9,$3.58,25.1
2018-12-31,76.48,$3.39,22.59
2018-09-30,83.02,$2.80,29.62
2018-06-30,69.63,$3.24,21.47
2018-03-31,57.12,$3.87,14.76
2017-12-31,67.48,$3.06,22.05
2017-09-30,56.9,$3.87,14.72
2017-06-30,48.5,$2.96,16.39
2017-03-31,61.41,$1.62,38.02
2016-12-31,67.28,$3.18,21.18
2016-09-30,59.56,$1.91,31.22
2016-06-30,80.4,$1.93,41.61
2016-03-31,79.57,$0.04,2004.16
2015-12-31,75.03,$1.30,57.53
2015-09-30,73.8,$-0.02,0.0
2015-06-30,78.58,$1.56,50.33
2014-12-31,68.58,$1.79,38.42
2014-09-30,53.4,$1.21,44.05
2014-06-30,52.3,$1.42,36.79
2014-03-31,61.01,$0.10,642.17
2013-12-31,66.88,$1.43,46.77
2015-03-31,74.14,$-0.50,0.0
2013-09-30,57.8,$0.83,69.46
2013-06-30,50.46,$0.71,70.98
2013-03-31,44.6,$0.89,50.34
2012-12-31,37.77,$1.55,24.35
2012-09-30,42.18,$0.88,47.98
2012-06-30,35.35,$0.90,39.41
2012-03-31,38.46,$0.74,52.18
2011-12-31,29.75,$0.60,49.56
2011-09-30,26.47,$0.69,38.17
2011-06-30,28.26,$0.91,31.08
2011-03-31,25.24,$0.58,43.37
2010-12-31,20.42,$0.85,24.13
2010-09-30,16.67,$0.73,22.84
2010-06-30,12.79,$0.77,16.65
2010-03-31,12.15,$0.95,12.74
2009-12-31,11.06,$0.96,11.47
