Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data,Lennar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,182.06,,12.83
2024-05-31,159.79,$14.20,11.26
2024-02-29,157.45,$15.66,10.05
2023-11-30,126.64,$17.98,7.04
2023-08-31,117.51,$18.31,6.42
2023-05-31,105.37,$16.62,6.34
2023-02-28,94.84,$14.82,6.4
2022-11-30,85.78,$11.16,7.69
2022-08-31,75.28,$5.74,13.11
2022-05-31,77.62,$6.04,12.85
2022-02-28,86.52,$6.59,13.12
2021-11-30,100.72,$8.18,12.31
2021-08-31,102.62,$8.33,12.31
2021-05-31,94.45,$11.51,8.21
2021-02-28,78.95,$13.53,5.84
2020-11-30,71.97,$13.42,5.36
2020-08-31,70.78,$13.08,5.41
2020-05-31,57.08,$10.37,5.5
2020-02-29,56.79,$7.56,7.51
2019-11-30,56.04,$4.63,12.1
2019-08-31,47.88,$3.83,12.48
2019-05-31,46.58,$3.57,13.06
2019-02-28,44.97,$-0.33,0.0
2018-11-30,40.02,$3.65,10.95
2018-08-31,48.34,$2.77,17.47
2018-05-31,48.37,$-0.31,0.0
2017-11-30,58.61,$3.67,15.97
2017-08-31,48.29,$4.05,11.93
2017-05-31,47.84,$1.30,36.75
2017-02-28,45.45,$3.12,14.54
2016-11-30,39.59,$2.99,13.25
2018-02-28,52.86,$-0.59,0.0
2016-08-31,43.98,$3.20,13.76
2016-05-31,42.34,$2.26,18.71
2016-02-29,38.93,$1.04,37.37
2015-11-30,47.49,$-1.20,0.0
2015-08-31,47.17,$-2.47,0.0
2015-05-31,43.18,$-3.18,0.0
2015-02-28,46.46,$-3.61,0.0
2014-11-30,43.67,$-2.18,0.0
2014-08-31,36.18,$-1.38,0.0
2014-05-31,37.73,$-2.43,0.0
2014-02-28,40.44,$-2.25,0.0
2013-11-30,32.92,$-1.93,0.0
2013-08-31,29.25,$-3.40,0.0
2013-05-31,36.11,$-2.84,0.0
2013-02-28,35.41,$-1.93,0.0
2012-11-30,34.87,$-1.11,0.0
2012-08-31,29.69,$-3.02,0.0
2012-05-31,24.95,$-2.37,0.0
2012-02-29,21.34,$-2.04,0.0
2011-11-30,16.78,$-1.38,0.0
2011-08-31,13.36,$-0.16,0.0
2011-05-31,17.21,$-0.03,0.0
2011-02-28,18.24,$1.00,18.32
2010-11-30,13.72,$1.43,9.63
2010-08-31,11.85,$1.26,9.39
2010-05-31,15.54,$2.41,6.46
2010-02-28,14.71,$2.44,6.02
2009-11-30,11.33,$2.47,4.59
