Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data,Host Hotels & Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,17.7,,29.32
2024-06-30,17.98,$0.60,29.78
2023-12-31,19.07,$1.16,16.4
2023-09-30,15.39,$2.36,6.53
2023-06-30,15.94,$2.48,6.43
2023-03-31,15.48,$2.40,6.45
2022-12-31,14.95,$2.82,5.3
2024-03-31,20.45,$2.05,9.97
2022-09-30,14.5,$2.48,5.85
2022-06-30,14.21,$2.15,6.6
2022-03-31,17.54,$1.36,12.9
2021-12-31,15.68,$0.84,18.75
2021-09-30,14.72,$0.01,0.0
2021-06-30,15.41,$-0.74,0.0
2021-03-31,15.19,$-0.89,0.0
2020-12-31,13.19,$-0.74,0.0
2020-09-30,9.73,$-0.14,0.0
2020-06-30,9.73,$1.40,6.96
2020-03-31,9.95,$2.11,4.71
2019-12-31,16.44,$2.58,6.38
2019-09-30,15.12,$2.73,5.54
2019-06-30,15.74,$3.22,4.89
2019-03-31,16.15,$3.36,4.81
2018-12-31,14.1,$3.28,4.3
2018-09-30,17.58,$2.92,6.03
2018-06-30,17.39,$2.10,8.29
2018-03-31,15.24,$0.69,22.19
2017-12-31,16.06,$0.38,42.37
2017-09-30,14.77,$0.34,43.97
2017-06-30,14.44,$0.62,23.37
2016-12-31,14.57,$1.68,8.68
2016-09-30,11.88,$1.90,6.25
2016-06-30,12.22,$1.73,7.07
2016-03-31,12.42,$1.32,9.39
2015-12-31,11.27,$1.03,10.92
2015-09-30,11.47,$1.25,9.19
2015-06-30,14.21,$1.24,11.44
2015-03-31,14.32,$1.10,12.96
2014-12-31,16.7,$1.54,10.87
2014-09-30,14.83,$1.54,9.65
2014-06-30,15.16,$1.57,9.68
2014-03-31,13.84,$1.63,8.48
2013-12-31,13.2,$1.61,8.21
2013-09-30,11.92,$1.09,10.96
2013-06-30,11.31,$1.18,9.54
2013-03-31,11.64,$0.86,13.61
2012-12-31,10.37,$0.44,23.58
2012-09-30,10.56,$0.35,30.35
2012-06-30,10.36,$0.31,33.8
2012-03-31,10.7,$0.35,30.52
2011-12-31,9.59,$0.24,40.05
2011-09-30,7.08,$0.34,20.87
2011-06-30,10.93,$0.19,56.66
2011-03-31,11.33,$0.24,46.37
2010-12-31,11.49,$0.33,34.31
2010-09-30,9.3,$0.39,23.93
2010-06-30,8.66,$0.52,16.67
2010-03-31,9.4,$0.43,21.96
2009-12-31,7.48,$0.65,11.58
2009-09-30,7.36,$0.97,7.61
