Jacobs Solutions Price to Free Cash Flow Ratio Historical Data,Jacobs Solutions Price to Free Cash Flow Ratio Historical Data,Jacobs Solutions Price to Free Cash Flow Ratio Historical Data,Jacobs Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,150.88,,19.89
2024-06-30,139.71,$7.59,18.42
2024-03-31,153.73,$6.33,24.28
2023-12-31,129.8,$7.64,16.99
2023-09-30,136.5,$6.59,20.7
2023-06-30,118.89,$6.95,17.1
2023-03-31,117.51,$2.56,45.82
2022-12-31,120.07,$2.55,47.05
2022-09-30,108.49,$2.75,39.39
2022-06-30,126.92,$2.32,54.66
2022-03-31,137.35,$5.55,24.73
2021-12-31,138.5,$6.42,21.58
2021-09-30,131.63,$4.83,27.26
2021-06-30,132.31,$6.50,20.36
2021-03-31,128.0,$7.88,16.23
2020-12-31,107.7,$7.10,15.16
2020-09-30,91.5,$5.19,17.63
2020-06-30,83.46,$0.94,88.9
2020-03-31,77.81,$-3.12,0.0
2019-12-31,88.0,$-3.03,0.0
2019-09-30,89.47,$-3.56,0.0
2019-06-30,82.35,$-0.93,0.0
2019-03-31,73.21,$1.98,37.02
2018-12-31,56.78,$-2.70,0.0
2018-09-30,74.3,$0.26,285.66
2018-06-30,61.41,$0.16,394.9
2018-03-31,57.08,$-0.66,0.0
2017-09-30,55.95,$3.82,14.64
2017-06-30,52.08,$7.50,6.94
2017-03-31,52.78,$6.41,8.23
2016-12-31,54.28,$7.26,7.47
2016-09-30,49.25,$8.38,5.88
2017-12-31,63.5,$3.54,17.94
2016-06-30,47.43,$3.90,12.18
2016-03-31,41.47,$4.69,8.84
2015-12-31,39.95,$2.40,16.66
2015-09-30,35.64,$3.14,11.34
2015-06-30,38.68,$4.25,9.11
2015-03-31,43.01,$4.04,10.65
2014-12-31,42.56,$3.28,12.98
2014-09-30,46.49,$4.63,10.05
2014-06-30,50.74,$2.80,18.13
2014-03-31,60.47,$2.01,30.02
2013-12-31,59.98,$2.96,20.27
2013-09-30,55.4,$2.49,22.29
2013-06-30,52.5,$3.74,14.05
2013-03-31,53.56,$2.43,22.02
2012-12-31,40.54,$2.36,17.19
2012-09-30,38.5,$1.63,23.56
2012-06-30,36.05,$1.33,27.18
2012-03-31,42.25,$1.39,30.37
2011-12-31,38.64,$0.99,39.14
2011-09-30,30.75,$1.11,27.63
2011-06-30,41.19,$0.18,229.96
2011-03-31,48.98,$1.04,47.28
2010-12-31,43.66,$-1.23,0.0
2010-09-30,36.85,$-1.99,0.0
2010-06-30,34.7,$0.33,106.25
2010-03-31,43.03,$-1.11,0.0
2009-09-30,43.76,$3.84,11.39
