Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data,Danaher Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,269.31,,39.23
2024-06-30,249.85,$6.87,36.39
2024-03-31,249.45,$7.45,33.48
2023-12-31,230.84,$7.80,29.61
2023-09-30,247.0,$9.18,26.91
2023-06-30,238.94,$9.80,24.39
2023-03-31,250.64,$10.00,25.06
2022-12-31,263.66,$10.05,26.23
2022-09-30,256.34,$9.58,26.76
2022-06-30,251.36,$9.66,26.03
2022-03-31,290.55,$9.79,29.68
2021-12-31,325.61,$9.68,33.64
2021-09-30,301.1,$9.79,30.75
2021-06-30,265.23,$9.47,28.0
2021-03-31,222.28,$8.79,25.29
2020-12-31,219.17,$7.54,29.07
2020-09-30,212.28,$6.15,34.5
2020-06-30,174.17,$5.15,33.79
2020-03-31,136.19,$4.77,28.52
2019-12-31,150.82,$4.59,32.87
2019-09-30,141.77,$4.84,29.32
2019-06-30,140.12,$4.82,29.09
2019-03-31,129.28,$4.66,27.75
2018-12-31,100.85,$4.85,20.8
2018-09-30,106.1,$4.30,24.66
2018-06-30,96.21,$4.55,21.16
2018-03-31,95.3,$4.57,20.87
2017-12-31,90.2,$4.16,21.67
2017-09-30,83.23,$3.86,21.57
2017-06-30,81.75,$3.48,23.47
2017-03-31,82.72,$3.84,21.53
2016-12-31,75.16,$4.20,17.88
2016-09-30,75.57,$5.06,14.94
2016-06-30,73.7,$5.39,13.68
2016-03-31,69.1,$5.09,13.57
2015-12-31,67.55,$4.73,14.29
2015-09-30,61.88,$4.82,12.84
2015-06-30,62.06,$4.77,13.0
2015-03-31,61.46,$4.62,13.3
2014-12-31,61.95,$4.59,13.5
2014-09-30,54.85,$4.24,12.93
2014-06-30,56.76,$4.17,13.61
2014-03-31,54.01,$4.07,13.28
2013-12-31,55.51,$4.27,13.0
2013-09-30,49.83,$3.92,12.71
2013-06-30,45.49,$3.96,11.49
2013-03-31,44.64,$4.14,10.78
2012-12-31,40.14,$4.15,9.68
2012-09-30,39.58,$4.22,9.38
2012-06-30,37.36,$3.83,9.76
2012-03-31,40.15,$3.44,11.68
2011-12-31,33.71,$3.27,10.32
2011-09-30,30.04,$3.01,9.98
2011-06-30,37.94,$2.97,12.76
2011-03-31,37.14,$2.82,13.18
2010-12-31,33.74,$2.77,12.17
2010-09-30,29.04,$2.66,10.91
2010-06-30,26.53,$2.59,10.25
2010-03-31,28.54,$2.53,11.27
2009-12-31,26.84,$2.43,11.06
