PulteGroup Price to Free Cash Flow Ratio Historical Data,PulteGroup Price to Free Cash Flow Ratio Historical Data,PulteGroup Price to Free Cash Flow Ratio Historical Data,PulteGroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,131.65,,21.67
2024-06-30,110.1,$6.07,18.13
2024-03-31,120.4,$8.17,14.73
2023-12-31,102.85,$11.21,9.18
2023-09-30,73.64,$8.21,8.97
2023-06-30,77.09,$5.57,13.83
2022-12-31,44.95,$2.35,19.1
2022-09-30,36.9,$-1.15,0.0
2022-06-30,38.84,$3.75,10.36
2022-03-31,40.93,$4.69,8.72
2021-12-31,55.65,$4.89,11.38
2023-03-31,57.71,$4.96,11.64
2021-09-30,44.58,$3.79,11.77
2021-06-30,52.83,$5.06,10.43
2021-03-31,50.63,$6.34,7.99
2020-12-31,41.51,$6.41,6.48
2020-09-30,44.42,$6.26,7.1
2020-06-30,32.57,$5.57,5.85
2020-03-31,21.28,$3.87,5.51
2019-12-31,36.85,$3.70,9.97
2019-09-30,34.61,$3.45,10.04
2019-06-30,29.85,$4.08,7.32
2019-03-31,26.31,$4.86,5.42
2018-12-31,24.35,$4.88,4.99
2018-09-30,23.11,$4.70,4.92
2018-06-30,26.73,$3.34,8.0
2018-03-31,27.34,$2.50,10.95
2017-12-31,30.73,$2.06,14.94
2017-09-30,25.2,$1.83,13.76
2017-06-30,22.54,$1.57,14.33
2017-03-31,21.55,$0.38,56.09
2016-12-31,16.76,$0.08,197.84
2016-09-30,18.18,$-1.26,0.0
2016-06-30,17.6,$-1.46,0.0
2016-03-31,16.82,$-1.16,0.0
2015-12-31,15.94,$-1.06,0.0
2015-09-30,16.79,$-0.52,0.0
2015-06-30,17.86,$-0.00,0.0
2015-03-31,19.62,$0.40,49.67
2014-12-31,18.87,$0.69,27.25
2014-09-30,15.47,$1.24,12.51
2014-06-30,17.61,$1.48,11.87
2014-03-31,16.72,$1.71,9.76
2013-12-31,17.71,$2.20,8.04
2013-09-30,14.3,$2.27,6.3
2013-06-30,16.35,$2.24,7.29
2013-03-31,17.44,$2.34,7.47
2012-12-31,15.65,$1.96,7.98
2012-09-30,13.36,$1.53,8.71
2012-06-30,9.22,$0.71,13.08
2012-03-31,7.63,$0.32,23.78
2011-12-31,5.44,$-0.53,0.0
2011-09-30,3.4,$-1.12,0.0
2011-03-31,6.38,$-0.40,0.0
2010-12-31,6.48,$1.53,4.24
2010-09-30,7.55,$3.41,2.22
2010-06-30,7.14,$3.03,2.35
2010-03-31,9.7,$3.03,3.2
2009-12-31,8.62,$2.31,3.74
2009-09-30,9.47,$0.40,23.82
