Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data,Masco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,79.56,,17.32
2024-06-30,66.41,$4.59,14.46
2024-03-31,78.25,$4.73,16.53
2023-12-31,66.18,$5.18,12.78
2023-09-30,52.81,$4.27,12.36
2023-06-30,56.42,$3.60,15.66
2023-03-31,48.61,$3.59,13.56
2022-12-31,45.39,$2.66,17.09
2022-09-30,45.13,$2.81,16.09
2022-06-30,48.66,$2.90,16.76
2022-03-31,48.8,$2.60,18.74
2021-12-31,66.86,$3.20,20.92
2021-09-30,52.7,$3.34,15.78
2021-06-30,55.67,$2.99,18.63
2021-03-31,56.39,$3.14,17.95
2020-12-31,51.58,$3.18,16.21
2020-09-30,51.64,$2.59,19.91
2020-06-30,46.91,$2.84,16.53
2020-03-31,32.19,$2.58,12.46
2019-12-31,44.56,$2.45,18.2
2019-09-30,38.57,$2.84,13.57
2019-06-30,36.2,$2.62,13.83
2019-03-31,36.16,$2.44,14.84
2018-12-31,26.8,$2.69,9.95
2018-09-30,33.42,$2.38,14.05
2018-06-30,34.07,$2.25,15.16
2018-03-31,36.73,$2.15,17.06
2017-12-31,39.82,$1.89,21.03
2017-09-30,35.25,$1.87,18.83
2017-06-30,34.44,$1.77,19.42
2017-03-31,30.55,$1.61,19.02
2016-12-31,28.33,$1.85,15.35
2016-09-30,30.65,$2.12,14.44
2016-06-30,27.55,$2.09,13.2
2016-03-31,27.92,$2.17,12.9
2015-12-31,25.04,$1.96,12.74
2015-09-30,22.2,$1.68,13.19
2015-06-30,20.72,$1.57,13.23
2015-03-31,20.67,$1.62,12.74
2014-12-31,19.44,$1.40,13.93
2014-09-30,18.38,$1.41,13.06
2014-06-30,17.06,$1.57,10.84
2014-03-31,16.94,$1.47,11.5
2013-12-31,17.31,$1.55,11.16
2013-09-30,16.12,$1.37,11.78
2013-06-30,14.71,$0.77,19.15
2013-03-31,15.22,$0.51,29.93
2012-12-31,12.47,$0.66,19.0
2012-09-30,11.2,$0.40,28.09
2012-06-30,10.27,$0.48,21.3
2012-03-31,9.84,$0.33,29.41
2011-12-31,7.66,$0.32,23.82
2011-09-30,5.16,$0.54,9.47
2011-06-30,8.66,$0.71,12.23
2011-03-31,9.97,$0.86,11.53
2010-12-31,9.01,$0.99,9.09
2010-09-30,7.79,$1.15,6.78
2010-06-30,7.56,$1.55,4.87
2010-03-31,10.85,$1.52,7.13
2009-12-31,9.61,$1.72,5.59
