Bank Of America Price to Free Cash Flow Ratio Historical Data,Bank Of America Price to Free Cash Flow Ratio Historical Data,Bank Of America Price to Free Cash Flow Ratio Historical Data,Bank Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,40.75,,6.99
2024-06-30,39.77,$5.83,6.82
2024-03-31,37.92,$5.01,7.56
2023-12-31,33.44,$5.57,6.01
2023-09-30,26.98,$5.32,5.07
2023-06-30,28.03,$5.47,5.13
2023-03-31,27.73,$3.38,8.2
2022-12-31,31.9,$-0.77,0.0
2022-09-30,28.91,$0.69,41.88
2022-06-30,29.61,$0.03,928.18
2022-03-31,38.98,$-0.40,0.0
2021-12-31,41.87,$-0.84,0.0
2021-09-30,39.76,$0.11,376.18
2021-06-30,38.42,$-4.57,0.0
2021-03-31,35.91,$-3.81,0.0
2020-12-31,27.99,$4.32,6.48
2020-09-30,22.11,$4.37,5.07
2020-06-30,21.65,$7.50,2.89
2020-03-31,19.22,$7.15,2.69
2019-12-31,31.67,$6.54,4.84
2019-09-30,26.09,$-1.11,0.0
2019-06-30,25.77,$1.45,17.72
2019-03-31,24.39,$1.55,15.73
2018-12-31,21.67,$3.86,5.61
2018-09-30,25.76,$4.59,5.61
2018-06-30,24.53,$4.51,5.44
2018-03-31,25.99,$5.96,4.36
2017-12-31,25.49,$0.92,27.85
2017-09-30,21.78,$0.71,30.52
2017-06-30,20.75,$-1.11,0.0
2017-03-31,20.11,$-0.61,0.0
2016-12-31,18.79,$1.56,12.01
2016-09-30,13.26,$2.93,4.53
2016-06-30,11.19,$5.17,2.16
2016-03-31,11.36,$0.60,18.95
2015-12-31,14.09,$-0.30,0.0
2015-09-30,13.01,$-0.37,0.0
2015-06-30,14.16,$-2.40,0.0
2014-12-31,14.8,$2.91,5.09
2014-09-30,14.06,$10.89,1.29
2014-06-30,12.64,$10.48,1.21
2014-03-31,14.13,$10.92,1.29
2013-12-31,12.79,$12.71,1.01
2015-03-31,12.77,$7.03,1.82
2013-09-30,11.32,$4.61,2.46
2013-06-30,10.55,$4.69,2.25
2013-03-31,9.98,$2.34,4.26
2012-12-31,9.51,$-1.48,0.0
2012-09-30,7.22,$3.34,2.16
2012-06-30,6.68,$1.25,5.35
2012-03-31,7.81,$4.80,1.62
2011-12-31,4.53,$6.16,0.74
2011-09-30,4.98,$4.36,1.14
2011-06-30,8.9,$9.45,0.94
2011-03-31,10.82,$5.87,1.84
2010-12-31,10.82,$8.33,1.3
2010-09-30,10.62,$13.07,0.81
2010-06-30,11.63,$10.29,1.13
2010-03-31,14.44,$10.37,1.39
2009-12-31,12.18,$16.50,0.74
