Caesars Entertainment Price to Free Cash Flow Ratio Historical Data,Caesars Entertainment Price to Free Cash Flow Ratio Historical Data,Caesars Entertainment Price to Free Cash Flow Ratio Historical Data,Caesars Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,37.64,,76.69
2024-06-30,39.74,$0.49,80.97
2024-03-31,43.74,$2.13,20.56
2023-12-31,46.88,$2.53,18.55
2023-09-30,46.35,$3.31,13.99
2023-06-30,50.97,$3.77,13.52
2023-03-31,48.81,$2.04,23.93
2022-12-31,41.6,$0.37,111.29
2022-09-30,32.26,$-0.80,0.0
2022-06-30,38.3,$0.50,76.58
2022-03-31,77.36,$7.30,10.59
2021-12-31,93.53,$7.10,13.17
2021-09-30,112.28,$7.93,14.16
2021-06-30,103.75,$4.31,24.08
2020-12-31,74.27,$-2.76,0.0
2020-09-30,56.06,$8.14,6.89
2020-06-30,40.06,$7.06,5.68
2020-03-31,14.4,$10.00,1.44
2019-12-31,59.64,$9.82,6.07
2021-03-31,87.45,$3.72,23.5
2019-09-30,39.87,$3.75,10.63
2019-06-30,46.07,$3.59,12.85
2019-03-31,46.69,$4.02,11.61
2018-12-31,36.21,$2.27,15.96
2018-09-30,48.6,$2.69,18.09
2018-06-30,39.1,$2.29,17.09
2018-03-31,33.0,$1.44,22.96
2017-12-31,33.15,$0.69,48.18
2017-09-30,25.65,$0.51,50.03
2017-06-30,20.0,$0.10,191.94
2017-03-31,18.93,$1.10,17.21
2016-12-31,16.95,$1.13,15.04
2016-09-30,14.06,$1.36,10.3
2016-06-30,15.2,$1.03,14.82
2016-03-31,11.44,$0.78,14.7
2015-12-31,11.0,$0.43,25.72
2015-09-30,9.02,$0.01,688.55
2015-06-30,7.82,$0.73,10.69
