M&T Bank Price to Free Cash Flow Ratio Historical Data,M&T Bank Price to Free Cash Flow Ratio Historical Data,M&T Bank Price to Free Cash Flow Ratio Historical Data,M&T Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,172.11,,7.35
2024-06-30,151.36,$23.43,6.46
2024-03-31,145.44,$23.06,6.31
2023-12-31,135.79,$21.85,6.21
2023-09-30,124.0,$24.33,5.1
2023-06-30,120.12,$22.67,5.3
2023-03-31,114.8,$19.00,6.04
2022-12-31,138.09,$26.58,5.2
2022-09-30,166.68,$24.82,6.72
2022-06-30,149.68,$21.81,6.86
2022-03-31,158.12,$22.23,7.11
2021-12-31,142.34,$19.92,7.15
2021-09-30,137.33,$19.78,6.94
2021-06-30,132.58,$16.04,8.26
2021-03-31,137.39,$15.72,8.74
2020-12-31,114.52,$4.79,23.89
2020-09-30,82.07,$7.88,10.41
2020-06-30,91.68,$13.57,6.76
2020-03-31,90.27,$10.00,9.03
2019-12-31,146.99,$16.21,9.07
2019-09-30,135.89,$11.79,11.52
2019-06-30,145.3,$13.42,10.83
2019-03-31,133.32,$13.41,9.94
2018-12-31,120.82,$13.82,8.74
2018-09-30,138.08,$14.87,9.29
2018-06-30,141.98,$10.79,13.16
2018-03-31,153.13,$12.75,12.01
2017-12-31,141.47,$17.72,7.98
2017-09-30,132.65,$13.59,9.76
2017-06-30,132.73,$13.23,10.03
2017-03-31,126.22,$12.28,10.27
2016-12-31,127.03,$6.84,18.58
2016-09-30,93.83,$9.49,9.89
2016-06-30,94.98,$11.93,7.96
2016-03-31,88.65,$11.41,7.77
2015-12-31,96.15,$12.07,7.96
2015-09-30,96.23,$11.34,8.49
2015-06-30,98.0,$8.52,11.5
2015-03-31,99.06,$7.01,14.13
2014-12-31,97.42,$7.78,12.52
2014-09-30,95.08,$8.47,11.23
2014-06-30,95.13,$5.03,18.91
2014-03-31,92.48,$5.05,18.33
2013-12-31,88.23,$6.19,14.24
2013-09-30,84.31,$3.21,26.27
2013-06-30,83.67,$2.92,28.62
2013-03-31,76.73,$4.39,17.46
2012-12-31,72.74,$3.23,22.51
2012-09-30,69.79,$7.07,9.87
2012-06-30,60.08,$11.66,5.15
2012-03-31,62.67,$11.61,5.4
2011-12-31,54.6,$13.83,3.95
2011-09-30,49.48,$13.34,3.71
2011-06-30,61.69,$11.97,5.16
2011-03-31,61.56,$14.43,4.27
2010-12-31,60.09,$13.51,4.45
2010-09-30,55.97,$11.09,5.05
2010-06-30,57.64,$14.81,3.89
2010-03-31,53.4,$14.70,3.63
2009-12-31,44.6,$9.85,4.53
