Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data,Alliant Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,58.27,,0.0
2024-06-30,50.46,$-3.43,0.0
2024-03-31,49.49,$-3.64,0.0
2023-12-31,49.89,$-3.90,0.0
2023-09-30,46.68,$-4.80,0.0
2023-06-30,50.14,$-4.83,0.0
2023-03-31,50.6,$-4.70,0.0
2022-12-31,51.88,$-3.97,0.0
2022-09-30,49.39,$-2.74,0.0
2022-06-30,54.24,$-2.51,0.0
2022-03-31,57.42,$-2.31,0.0
2021-12-31,56.09,$-2.34,0.0
2021-09-30,50.72,$-2.74,0.0
2021-06-30,50.18,$-3.32,0.0
2021-03-31,48.39,$0.28,173.56
2020-12-31,45.66,$-1.12,0.0
2020-09-30,45.46,$-0.35,0.0
2020-06-30,41.81,$-0.21,0.0
2019-12-31,47.16,$-4.10,0.0
2019-09-30,46.17,$-6.57,0.0
2019-06-30,41.72,$-6.54,0.0
2019-03-31,39.75,$-6.62,0.0
2018-12-31,35.35,$-6.79,0.0
2020-03-31,41.88,$-3.44,0.0
2018-09-30,35.34,$-4.44,0.0
2018-06-30,34.86,$-4.00,0.0
2018-03-31,33.4,$-4.22,0.0
2017-12-31,34.53,$-4.12,0.0
2017-09-30,33.45,$-5.54,0.0
2017-06-30,32.07,$-5.72,0.0
2017-03-31,31.37,$-4.25,0.0
2016-12-31,29.76,$-3.54,0.0
2016-09-30,29.85,$-1.37,0.0
2016-06-30,30.7,$-0.38,0.0
2016-03-31,28.48,$-0.46,0.0
2015-12-31,23.72,$-0.10,0.0
2015-09-30,22.01,$0.12,178.11
2015-06-30,21.53,$0.22,98.53
2015-03-31,23.29,$0.00,0.0
2014-12-31,24.36,$0.24,102.5
2014-09-30,20.15,$0.26,78.06
2014-06-30,21.95,$0.01,0.0
2014-03-31,20.31,$0.40,50.73
2013-12-31,18.26,$-0.00,0.0
2013-09-30,17.38,$-1.14,0.0
2013-06-30,17.53,$-0.54,0.0
2013-03-31,17.29,$-1.11,0.0
2012-12-31,14.98,$-0.83,0.0
2012-09-30,14.65,$0.68,21.69
2012-06-30,15.24,$-0.08,0.0
2012-03-31,14.34,$0.70,20.42
2011-12-31,14.45,$0.43,33.82
2011-09-30,12.54,$0.80,15.76
2011-06-30,13.04,$0.84,15.53
2011-03-31,12.35,$0.98,12.59
2010-12-31,11.54,$0.69,16.82
2010-09-30,11.28,$-0.34,0.0
2010-06-30,9.74,$-1.09,0.0
2010-03-31,10.09,$-2.26,0.0
2009-12-31,9.06,$-2.23,0.0
