International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data,International Paper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,48.42,,22.91
2024-06-30,42.73,$2.11,20.22
2024-03-31,38.24,$2.39,15.98
2023-12-31,34.96,$1.99,17.54
2023-09-30,33.84,$2.62,12.9
2023-06-30,29.95,$2.53,11.84
2023-03-31,33.44,$2.36,14.15
2022-12-31,31.73,$3.42,9.27
2022-09-30,28.68,$2.04,14.07
2022-06-30,37.46,$3.04,12.33
2022-03-31,40.94,$4.04,10.14
2021-12-31,41.26,$4.03,10.23
2021-09-30,48.66,$6.01,8.09
2021-06-30,52.89,$5.97,8.86
2021-03-31,46.27,$6.01,7.7
2020-12-31,42.1,$5.86,7.18
2020-09-30,33.97,$5.49,6.19
2020-06-30,29.09,$5.50,5.29
2020-03-31,25.34,$5.73,4.43
2019-12-31,37.05,$5.90,6.28
2019-09-30,33.27,$5.81,5.72
2019-06-30,34.46,$5.72,6.03
2019-03-31,36.38,$4.73,7.69
2018-12-31,31.41,$4.05,7.76
2018-09-30,37.83,$4.51,8.39
2018-06-30,39.72,$0.71,56.05
2018-03-31,40.4,$0.73,55.19
2017-12-31,43.46,$0.94,46.3
2017-09-30,42.25,$0.31,135.02
2017-06-30,41.72,$2.84,14.71
2017-03-31,37.1,$2.62,14.16
2016-12-31,38.43,$2.76,13.9
2016-09-30,34.4,$2.82,12.2
2016-06-30,30.1,$3.90,7.73
2016-03-31,28.85,$2.68,10.75
2015-12-31,26.15,$2.69,9.74
2015-09-30,25.93,$3.21,8.07
2015-06-30,32.38,$3.42,9.46
2015-03-31,37.48,$4.43,8.46
2014-12-31,35.93,$4.10,8.76
2014-09-30,31.78,$3.73,8.52
2014-06-30,32.89,$3.40,9.66
2014-03-31,29.67,$3.99,7.43
2013-12-31,31.48,$4.26,7.4
2013-09-30,28.54,$3.65,7.83
2013-06-30,28.05,$3.82,7.34
2013-03-31,29.3,$3.62,8.1
2012-12-31,24.88,$3.59,6.94
2012-09-30,22.49,$3.30,6.81
2012-06-30,17.76,$3.25,5.46
2012-03-31,21.38,$3.38,6.33
2011-12-31,17.89,$3.47,5.16
2011-09-30,13.92,$4.69,2.97
2011-06-30,17.67,$2.50,7.06
2011-03-31,17.74,$2.65,6.7
2010-12-31,15.91,$1.97,8.07
2010-09-30,12.64,$2.46,5.14
2010-06-30,13.08,$6.31,2.07
2010-03-31,14.15,$8.15,1.74
2009-12-31,15.38,$9.63,1.6
