JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data,JPMorgan Chase Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,224.8,,0.0
2024-06-30,201.13,$-4.22,0.0
2024-03-31,198.02,$-11.10,0.0
2023-12-31,167.14,$4.41,37.91
2023-09-30,141.46,$17.96,7.88
2023-06-30,140.89,$-3.39,0.0
2023-03-31,125.25,$12.71,9.86
2022-12-31,127.95,$36.07,3.55
2022-09-30,98.81,$30.12,3.28
2022-06-30,105.54,$43.90,2.4
2022-03-31,126.82,$25.99,4.88
2021-12-31,146.42,$25.80,5.68
2021-09-30,150.46,$-11.39,0.0
2021-06-30,142.15,$-23.79,0.0
2021-03-31,138.31,$-1.40,0.0
2020-12-31,114.63,$-25.88,0.0
2020-09-30,86.07,$8.99,9.57
2020-06-30,83.28,$18.26,4.56
2020-03-31,78.87,$-13.01,0.0
2019-12-31,121.33,$1.27,95.78
2019-09-30,101.62,$-24.03,0.0
2019-06-30,95.85,$-24.66,0.0
2019-03-31,86.14,$-9.78,0.0
2018-12-31,82.39,$4.57,18.01
2018-09-30,94.57,$7.60,12.45
2018-06-30,86.86,$2.28,38.15
2018-03-31,91.22,$-6.90,0.0
2017-12-31,88.25,$-3.03,0.0
2017-09-30,78.37,$4.46,17.56
2017-06-30,74.59,$6.97,10.69
2017-03-31,71.28,$5.44,13.11
2016-12-31,69.64,$5.93,11.74
2016-09-30,53.35,$-1.01,0.0
2016-06-30,49.4,$4.69,10.53
2016-03-31,46.73,$9.79,4.77
2015-12-31,51.75,$19.47,2.66
2015-09-30,47.44,$22.94,2.07
2015-06-30,52.38,$15.53,3.37
2015-03-31,46.52,$-14.70,0.0
2014-12-31,47.75,$-20.86,0.0
2014-09-30,45.66,$-21.13,0.0
2014-06-30,43.37,$-2.49,0.0
2013-12-31,43.46,$28.30,1.54
2013-09-30,38.14,$33.22,1.15
2013-06-30,38.67,$29.76,1.3
2013-03-31,34.54,$7.40,4.67
2012-12-31,31.79,$13.21,2.41
2014-03-31,45.41,$11.59,3.92
2012-09-30,29.05,$15.05,1.93
2012-06-30,25.43,$21.83,1.16
2012-03-31,32.51,$27.07,1.2
2011-12-31,23.34,$24.47,0.95
2011-09-30,20.97,$17.46,1.2
2011-06-30,28.34,$2.38,11.89
2011-03-31,31.74,$-6.79,0.0
2010-12-31,29.17,$-0.94,0.0
2010-09-30,26.14,$2.44,10.71
2010-06-30,25.11,$16.06,1.56
2010-03-31,30.62,$22.50,1.36
2009-12-31,28.48,$31.65,0.9
