BorgWarner Price to Free Cash Flow Ratio Historical Data,BorgWarner Price to Free Cash Flow Ratio Historical Data,BorgWarner Price to Free Cash Flow Ratio Historical Data,BorgWarner Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,34.07,,11.07
2024-06-30,32.24,$3.08,10.47
2024-03-31,34.74,$1.95,17.79
2023-12-31,35.72,$2.54,14.07
2023-09-30,40.1,$1.48,27.07
2023-06-30,48.45,$1.79,27.14
2023-03-31,48.46,$1.93,25.08
2022-12-31,39.58,$2.44,16.22
2022-09-30,30.76,$2.39,12.89
2022-06-30,32.54,$1.85,17.62
2022-03-31,37.77,$-0.78,0.0
2021-12-31,43.58,$0.38,113.47
2021-09-30,41.62,$0.39,108.03
2021-06-30,46.57,$0.47,98.75
2020-12-31,36.81,$3.45,10.66
2020-09-30,36.75,$2.80,13.11
2020-06-30,33.34,$2.27,14.68
2020-03-31,22.9,$3.65,6.28
2019-12-31,40.54,$2.59,15.64
2019-09-30,34.14,$4.30,7.93
2019-06-30,38.87,$3.68,10.58
2019-03-31,35.4,$-0.53,0.0
2018-12-31,31.88,$1.65,19.31
2018-09-30,39.09,$0.11,356.03
2018-06-30,39.29,$0.51,77.7
2017-12-31,46.18,$2.93,15.75
2017-09-30,46.17,$4.20,11.0
2017-06-30,38.06,$3.18,11.98
2017-03-31,37.42,$2.68,13.95
2016-12-31,35.2,$3.95,8.92
2018-03-31,45.56,$0.55,82.17
2016-09-30,31.27,$2.21,14.16
2016-06-30,26.14,$1.75,14.92
2016-03-31,33.87,$1.44,23.44
2015-12-31,37.98,$1.29,29.5
2015-09-30,36.43,$0.62,58.57
2015-06-30,49.65,$0.89,55.5
2015-03-31,52.71,$0.92,57.38
2014-12-31,47.79,$1.04,45.82
2014-09-30,45.65,$1.01,45.27
2014-06-30,56.45,$1.15,49.17
2014-03-31,53.12,$1.26,42.22
2013-12-31,48.21,$1.30,37.05
2013-09-30,43.6,$1.79,24.4
2013-06-30,36.95,$1.89,19.51
2013-03-31,33.17,$1.89,17.57
2012-12-31,30.72,$1.94,15.82
2012-09-30,29.64,$1.54,19.23
2012-06-30,28.13,$1.10,25.48
2012-03-31,36.18,$0.97,37.19
2011-12-31,27.34,$2.00,13.65
2011-09-30,25.96,$1.13,23.02
2021-03-31,44.33,$1.49,29.67
2011-06-30,34.65,$0.97,35.67
2011-03-31,34.18,$0.55,62.17
2010-12-31,31.04,$1.01,30.66
2010-09-30,22.57,$0.83,27.12
2010-06-30,16.02,$0.79,20.29
2010-03-31,16.38,$0.67,24.35
2009-12-31,14.25,$0.77,18.62
