DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data,DuPont De Nemours Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,84.25,,12.09
2024-06-30,80.13,$6.97,11.49
2024-03-31,76.33,$6.55,11.65
2023-12-31,76.17,$6.24,12.2
2023-09-30,73.48,$23.65,3.11
2023-06-30,70.05,$23.21,3.02
2023-03-31,70.01,$23.53,2.98
2022-12-31,66.62,$23.10,2.88
2022-09-30,48.69,$2.89,16.83
2022-06-30,53.4,$3.35,15.93
2022-03-31,70.36,$3.17,22.22
2021-12-31,76.92,$3.41,22.56
2021-09-30,64.49,$3.80,16.99
2021-06-30,73.13,$4.60,15.9
2021-03-31,72.75,$4.64,15.68
2020-12-31,66.66,$5.35,12.46
2020-09-30,51.77,$4.27,12.13
2020-06-30,49.3,$2.99,16.52
2020-03-31,31.45,$1.23,25.66
2019-12-31,58.83,$-1.02,0.0
2019-09-30,65.04,$3.68,17.69
2019-06-30,68.19,$0.99,69.23
2019-03-31,68.85,$3.66,18.79
2018-12-31,68.59,$1.28,53.69
2018-09-30,82.48,$2.32,35.53
2018-06-30,84.09,$-5.21,0.0
