Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data,Hubbell Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,399.92,,26.26
2024-06-30,364.37,$15.23,23.93
2024-03-31,413.79,$14.99,27.6
2023-12-31,326.85,$13.24,24.68
2023-09-30,310.15,$11.30,27.44
2023-06-30,326.99,$11.65,28.08
2023-03-31,239.03,$11.26,21.23
2022-12-31,229.53,$15.52,14.79
2022-09-30,217.13,$15.83,13.71
2022-06-30,173.0,$13.87,12.47
2022-03-31,177.06,$13.03,13.59
2021-12-31,199.51,$7.90,25.26
2021-09-30,172.17,$6.41,26.87
2021-06-30,177.22,$7.55,23.49
2021-03-31,176.36,$8.50,20.74
2020-12-31,147.14,$9.54,15.42
2020-09-30,127.65,$8.94,14.28
2020-06-30,116.21,$9.85,11.8
2020-03-31,105.6,$8.52,12.4
2019-12-31,135.12,$7.86,17.18
2019-09-30,119.37,$9.24,12.93
2019-06-30,117.7,$8.85,13.3
2019-03-31,105.73,$9.20,11.49
2018-12-31,88.4,$7.79,11.35
2018-09-30,118.86,$7.46,15.93
2018-06-30,93.52,$5.89,15.87
2018-03-31,106.96,$4.47,23.91
2017-12-31,118.19,$5.77,20.5
2017-09-30,100.7,$5.54,18.19
2017-06-30,97.61,$6.41,15.23
2017-03-31,102.93,$6.42,16.03
2016-12-31,99.48,$6.37,15.63
2016-09-30,91.27,$8.56,10.66
