Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data,Amgen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,333.83,,25.3
2024-03-31,280.34,$13.20,21.24
2023-12-31,281.79,$13.68,20.6
2023-09-30,260.88,$24.43,10.68
2023-06-30,213.79,$12.69,16.85
2023-03-31,230.6,$10.76,21.42
2022-12-31,248.34,$12.66,19.62
2024-06-30,310.28,$4.95,62.63
2022-09-30,211.68,$16.38,12.92
2022-06-30,226.73,$15.04,15.07
2022-03-31,223.57,$14.87,15.03
2021-12-31,206.21,$14.63,14.1
2021-09-30,193.28,$13.61,14.2
2021-06-30,219.87,$15.26,14.41
2021-03-31,222.88,$16.74,13.31
2020-12-31,204.42,$16.76,12.2
2020-09-30,224.46,$17.13,13.1
2020-06-30,206.92,$16.99,12.18
2020-03-31,176.68,$14.60,12.1
2019-12-31,208.59,$14.01,14.89
2019-09-30,166.34,$14.49,11.48
2019-06-30,158.4,$13.99,11.32
2019-03-31,161.92,$15.02,10.78
2018-12-31,164.64,$15.88,10.37
2018-09-30,174.12,$15.55,11.19
2018-06-30,154.02,$15.20,10.13
2018-03-31,141.17,$14.93,9.46
2017-12-31,142.95,$14.30,9.99
2017-09-30,152.24,$14.24,10.69
2017-06-30,139.69,$13.04,10.71
2017-03-31,132.12,$13.43,9.84
2016-12-31,116.94,$12.75,9.17
2016-09-30,132.51,$11.37,11.65
2016-06-30,120.17,$11.73,10.24
2016-03-31,117.65,$12.83,9.17
2015-12-31,126.48,$12.29,10.29
2015-09-30,107.11,$13.31,8.05
2015-06-30,118.44,$12.93,9.16
2015-03-31,122.71,$5.13,23.94
2014-12-31,121.65,$5.52,22.03
2014-09-30,106.87,$4.20,25.42
2014-06-30,89.63,$2.77,32.34
2013-12-31,85.48,$7.34,11.64
2013-09-30,83.52,$10.51,7.95
2013-06-30,73.3,$9.65,7.59
2013-03-31,75.83,$9.75,7.77
2012-12-31,63.41,$11.41,5.56
2014-03-31,92.88,$7.11,13.06
2012-09-30,61.75,$7.35,8.4
2012-06-30,53.18,$6.35,8.38
2012-03-31,49.32,$5.04,9.79
2011-12-31,46.35,$4.99,9.29
2011-09-30,39.48,$5.37,7.35
2011-06-30,41.69,$5.61,7.43
2011-03-31,38.19,$5.56,6.87
2010-12-31,39.22,$5.40,7.27
2010-09-30,39.37,$5.16,7.63
2010-06-30,37.58,$5.73,6.56
2010-03-31,42.75,$5.80,7.37
2009-12-31,40.41,$5.69,7.11
