Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data,Xylem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,137.53,,34.3
2024-06-30,135.27,$4.01,33.73
2024-03-31,128.9,$3.04,42.41
2023-12-31,113.73,$2.60,43.77
2023-09-30,90.23,$2.53,35.69
2023-06-30,111.27,$2.04,54.46
2023-03-31,103.1,$2.50,41.19
2022-12-31,108.54,$2.17,50.12
2022-09-30,85.52,$1.27,67.37
2022-06-30,76.29,$0.81,94.47
2022-03-31,82.89,$-2.42,0.0
2021-12-31,116.2,$0.07,1607.18
2021-09-30,119.58,$0.59,201.93
2021-06-30,115.74,$0.99,117.23
2020-12-31,97.7,$3.54,27.6
2020-09-30,80.5,$5.50,14.64
2020-06-30,61.96,$3.85,16.1
2020-03-31,61.89,$4.19,14.77
2019-12-31,74.64,$4.83,15.46
2021-03-31,101.24,$1.17,86.49
2019-09-30,75.21,$2.25,33.4
2019-06-30,78.76,$1.85,42.46
2019-03-31,74.19,$1.99,37.22
2018-12-31,62.42,$1.93,32.39
2018-09-30,74.48,$2.56,29.12
2018-06-30,62.66,$2.95,21.27
2018-03-31,71.32,$2.82,25.3
2017-12-31,63.06,$2.86,22.06
2017-09-30,57.75,$2.56,22.6
2017-06-30,50.96,$2.14,23.84
2017-03-31,46.01,$2.11,21.86
2016-12-31,45.2,$2.08,21.76
2016-09-30,47.72,$1.92,24.82
2016-06-30,40.5,$1.90,21.34
2016-03-31,36.97,$1.92,19.24
2015-12-31,32.86,$1.91,17.2
2015-09-30,29.46,$1.66,17.74
2015-06-30,33.1,$1.71,19.37
2015-03-31,31.15,$0.54,57.95
2014-12-31,33.73,$1.20,28.14
2014-09-30,31.33,$0.94,33.2
2014-06-30,34.38,$0.31,109.52
2013-12-31,30.23,$1.10,27.57
2013-09-30,24.31,$1.99,12.23
2013-06-30,23.34,$1.58,14.78
2013-03-31,23.78,$1.95,12.17
2012-12-31,23.28,$2.20,10.58
2014-03-31,31.93,$0.81,39.41
2012-09-30,21.52,$2.62,8.2
