3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data,3M Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,134.69,,16.86
2024-06-30,101.65,$7.99,12.73
2024-03-31,88.05,$8.65,10.18
2023-12-31,89.29,$9.36,9.54
2023-09-30,75.29,$9.16,8.22
2023-06-30,79.3,$8.23,9.64
2023-03-31,82.04,$7.45,11.01
2022-12-31,92.37,$7.12,12.97
2022-09-30,84.13,$6.87,12.24
2022-06-30,97.52,$7.55,12.91
2022-03-31,111.07,$8.80,12.63
2021-12-31,131.2,$10.08,13.01
2021-09-30,128.51,$11.35,11.32
2021-06-30,144.41,$12.36,11.69
2021-03-31,139.06,$4.59,30.28
2020-12-31,125.1,$5.30,23.62
2020-09-30,113.67,$4.57,24.9
2020-06-30,109.7,$3.05,35.92
2019-12-31,121.71,$9.39,12.96
2019-09-30,112.44,$13.27,8.48
2019-06-30,117.48,$11.76,9.99
2019-03-31,139.6,$12.68,11.01
2018-12-31,127.13,$14.12,9.01
2020-03-31,95.05,$7.01,13.57
2018-09-30,139.63,$7.82,17.87
2018-06-30,129.49,$7.10,18.23
2018-03-31,143.52,$6.75,21.27
2017-12-31,153.0,$8.02,19.07
2017-09-30,135.76,$8.62,15.75
2017-06-30,133.87,$8.82,15.18
2017-03-31,122.29,$8.16,14.98
2016-12-31,113.4,$8.57,13.24
2016-09-30,111.2,$8.58,12.96
2016-06-30,109.82,$8.18,13.42
2016-03-31,103.81,$8.16,12.71
2015-12-31,93.17,$7.83,11.89
2015-09-30,87.11,$7.44,11.71
2015-06-30,94.15,$7.50,12.56
2015-03-31,100.02,$7.99,12.52
2014-12-31,99.02,$7.96,12.44
2014-09-30,84.92,$7.55,11.25
2014-06-30,85.35,$6.56,13.01
2014-03-31,80.34,$6.39,12.57
2013-12-31,82.52,$6.17,13.37
2013-09-30,69.92,$5.82,12.02
2013-06-30,63.67,$6.02,10.58
2013-03-31,61.55,$0.95,65.13
2012-12-31,53.42,$1.72,31.13
2012-09-30,52.83,$1.41,37.5
2012-06-30,50.89,$1.59,31.97
2011-12-31,45.79,$5.51,8.31
2011-09-30,39.94,$8.62,4.63
2011-06-30,52.41,$7.95,6.59
2011-03-31,51.37,$7.87,6.53
2010-12-31,47.13,$8.50,5.55
2012-03-31,50.32,$4.92,10.22
2010-09-30,47.06,$5.25,8.96
2010-06-30,42.6,$5.90,7.22
2010-03-31,44.79,$6.43,6.96
2009-12-31,44.02,$5.82,7.56
