Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data,Atmos Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,130.74,,0.0
2024-06-30,115.93,$-8.02,0.0
2024-03-31,117.3,$-8.56,0.0
2023-12-31,113.56,$5.28,21.52
2023-09-30,103.05,$4.50,22.88
2023-06-30,112.47,$2.85,39.45
2023-03-31,107.93,$3.64,29.63
2022-12-31,106.97,$-10.24,0.0
2022-09-30,96.62,$-10.62,0.0
2022-06-30,105.73,$-10.06,0.0
2022-03-31,112.02,$-10.12,0.0
2021-12-31,97.6,$-25.82,0.0
2021-09-30,81.57,$-23.52,0.0
2021-06-30,88.32,$-22.30,0.0
2021-03-31,90.27,$-21.78,0.0
2020-12-31,86.56,$-6.73,0.0
2020-09-30,86.15,$-7.31,0.0
2020-06-30,89.24,$-7.02,0.0
2020-03-31,88.41,$-7.26,0.0
2019-12-31,99.18,$-6.90,0.0
2019-09-30,100.44,$-6.17,0.0
2019-06-30,92.65,$-5.91,0.0
2019-03-31,89.88,$-5.47,0.0
2018-12-31,80.54,$-3.37,0.0
2018-09-30,81.14,$-3.09,0.0
2018-06-30,77.47,$-2.39,0.0
2018-03-31,71.99,$-1.93,0.0
2017-12-31,72.97,$-2.76,0.0
2017-09-30,70.84,$-2.54,0.0
2017-06-30,69.73,$-1.91,0.0
2017-03-31,66.03,$-2.08,0.0
2016-12-31,61.63,$-2.39,0.0
2016-09-30,61.51,$-2.82,0.0
2016-06-30,66.8,$-3.51,0.0
2016-03-31,60.65,$-3.27,0.0
2015-12-31,51.18,$-2.69,0.0
2015-09-30,46.92,$-2.25,0.0
2015-06-30,41.07,$-0.88,0.0
2015-03-31,43.97,$2.57,17.12
2014-09-30,37.37,$-0.94,0.0
2014-06-30,41.53,$2.21,18.8
2014-03-31,36.39,$0.51,71.06
2013-12-31,34.78,$-3.11,0.0
2013-09-30,32.35,$0.10,331.13
2014-12-31,43.99,$-3.10,0.0
2013-06-30,30.93,$-2.63,0.0
2013-03-31,31.9,$-2.29,0.0
2012-12-31,26.0,$-1.48,0.0
2012-09-30,26.23,$-1.60,0.0
2012-06-30,25.45,$-1.64,0.0
2012-03-31,22.59,$-2.01,0.0
2011-12-31,23.69,$-1.46,0.0
2011-09-30,22.81,$-0.44,0.0
2011-06-30,23.12,$0.92,25.21
2011-03-31,23.47,$1.41,16.69
2010-12-31,21.26,$1.35,15.71
2010-09-30,19.71,$1.99,9.91
2010-06-30,18.0,$1.72,10.49
2010-03-31,18.78,$2.86,6.57
2009-12-31,19.09,$4.25,4.49
