Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,356.1,,16.62
2024-06-30,331.76,$21.43,15.48
2024-03-31,363.62,$21.61,16.83
2023-12-31,292.07,$20.59,14.19
2023-09-30,268.28,$18.16,14.77
2023-06-30,240.6,$15.30,15.73
2023-03-31,222.56,$13.43,16.58
2022-12-31,231.85,$11.31,20.51
2022-09-30,157.81,$9.04,17.45
2022-06-30,170.78,$7.69,22.2
2022-03-31,211.79,$7.60,27.87
2021-12-31,195.53,$10.92,17.9
2021-09-30,180.56,$12.11,14.91
2021-06-30,203.58,$12.07,16.86
2021-03-31,215.94,$10.78,20.03
2020-12-31,168.62,$9.08,18.56
2020-09-30,137.33,$9.45,14.53
2020-06-30,115.6,$7.94,14.57
2020-03-31,105.11,$9.60,10.95
2019-12-31,132.85,$9.51,13.97
2019-09-30,112.74,$8.62,13.08
2019-06-30,120.73,$9.24,13.06
2019-03-31,119.31,$8.27,14.42
2018-12-31,111.19,$7.64,14.56
2018-09-30,132.57,$5.38,24.63
2018-06-30,117.22,$5.38,21.78
2018-03-31,126.7,$6.15,20.61
2017-12-31,134.85,$7.57,17.82
2017-09-30,106.09,$9.52,11.15
2017-06-30,90.75,$9.14,9.93
2017-03-31,77.71,$8.45,9.2
2016-12-31,77.05,$6.18,12.47
2016-09-30,73.11,$5.68,12.86
2016-06-30,61.84,$5.98,10.34
2016-03-31,61.83,$5.85,10.56
2015-12-31,54.2,$6.98,7.76
2015-09-30,51.57,$6.95,7.42
2015-06-30,66.31,$7.80,8.5
2015-03-31,62.05,$7.77,7.98
2014-12-31,70.38,$8.88,7.93
2014-09-30,75.58,$9.47,7.98
2014-06-30,82.41,$10.61,7.76
2014-03-31,74.92,$11.56,6.48
2013-12-31,68.02,$10.00,6.8
2013-09-30,62.04,$8.77,7.08
2013-06-30,60.93,$5.65,10.79
2013-03-31,63.83,$3.23,19.78
2012-12-31,65.77,$1.83,35.95
2012-09-30,62.41,$1.47,42.49
2012-06-30,61.2,$3.31,18.49
2012-03-31,76.45,$5.28,14.49
2011-12-31,64.74,$6.59,9.83
2011-09-30,52.48,$8.24,6.37
2011-06-30,75.34,$7.06,10.67
2011-03-31,78.48,$5.62,13.96
2010-12-31,65.71,$5.98,10.98
2010-09-30,54.9,$6.06,9.05
2010-06-30,41.63,$7.13,5.84
2010-03-31,43.28,$8.15,5.31
2009-12-31,38.97,$8.42,4.63
