McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,288.66,,29.19
2024-06-30,254.84,$9.89,25.77
2024-03-31,281.95,$5.13,54.95
2023-12-31,294.83,$4.85,60.83
2023-09-30,260.4,$5.01,52.03
2023-06-30,293.38,$1.88,156.12
2022-12-31,256.26,$7.46,34.37
2022-09-30,223.13,$12.15,18.37
2022-06-30,237.44,$12.18,19.5
2022-03-31,236.51,$14.77,16.01
2021-12-31,254.96,$14.14,18.03
2023-03-31,273.46,$9.57,28.58
2021-09-30,228.03,$8.99,25.37
2021-06-30,217.28,$9.52,22.82
2021-03-31,209.68,$7.14,29.35
2020-12-31,199.49,$6.20,32.17
2020-09-30,202.85,$5.71,35.55
2020-06-30,169.49,$4.63,36.57
2020-03-31,150.91,$7.14,21.12
2019-12-31,179.2,$7.69,23.31
2019-09-30,193.47,$6.94,27.89
2019-06-30,186.12,$6.92,26.91
2019-03-31,169.21,$6.10,27.72
2018-12-31,157.24,$5.58,28.17
2018-09-30,147.23,$5.36,27.48
2018-06-30,137.04,$4.70,29.16
2018-03-31,135.91,$4.76,28.53
2017-12-31,148.64,$4.74,31.37
2017-09-30,134.52,$4.28,31.44
2017-06-30,130.72,$4.90,26.67
2017-03-31,109.94,$1.22,89.98
2016-12-31,102.49,$0.80,127.5
2016-09-30,96.39,$2.39,40.41
2016-06-30,99.78,$1.27,78.42
2015-12-31,96.51,$5.23,18.46
2015-09-30,79.87,$6.98,11.44
2015-06-30,76.39,$6.80,11.23
2015-03-31,77.61,$6.86,11.31
2014-12-31,74.0,$6.41,11.54
2016-03-31,103.45,$4.99,20.73
2014-09-30,74.22,$4.42,16.78
2014-06-30,78.19,$4.58,17.09
2014-03-31,75.48,$4.57,16.51
2013-12-31,74.08,$4.27,17.35
2013-09-30,72.84,$4.14,17.61
2013-06-30,74.35,$4.01,18.53
2013-03-31,74.28,$3.87,19.21
2012-12-31,65.2,$3.84,16.98
2012-09-30,67.22,$3.81,17.62
2012-06-30,64.35,$4.00,16.08
2012-03-31,70.76,$4.25,16.63
2011-12-31,71.86,$4.23,16.99
2011-09-30,62.43,$4.26,14.66
2011-06-30,59.55,$4.17,14.29
2011-03-31,53.33,$3.95,13.51
2010-12-31,53.37,$3.89,13.71
2010-09-30,51.4,$3.72,13.83
2010-06-30,45.1,$3.63,12.44
2010-03-31,45.31,$3.73,12.15
2009-12-31,42.05,$3.43,12.26
