Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data,Apple Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,229.0,,32.81
2024-06-30,210.38,$6.98,30.14
2024-03-31,171.05,$6.54,26.17
2023-12-31,191.8,$6.81,28.16
2023-09-30,170.34,$6.30,27.05
2023-06-30,192.73,$6.59,29.26
2023-03-31,163.62,$6.10,26.84
2022-12-31,128.72,$6.05,21.29
2022-09-30,136.69,$6.83,20.02
2022-06-30,135.04,$6.56,20.6
2022-03-31,172.21,$6.40,26.9
2021-12-31,174.91,$6.12,28.56
2021-09-30,139.17,$5.51,25.25
2021-06-30,134.51,$5.58,24.11
2021-03-31,119.76,$5.29,22.65
2020-12-31,129.9,$4.65,27.93
2020-09-30,113.18,$4.19,27.04
2020-06-30,88.96,$4.03,22.07
2020-03-31,61.85,$3.72,16.62
2019-12-31,71.25,$3.54,20.13
2019-09-30,54.18,$3.17,17.11
2019-06-30,47.7,$3.06,15.6
2019-03-31,45.6,$3.12,14.62
2018-12-31,37.71,$3.19,11.81
2018-09-30,53.77,$3.21,16.77
2018-06-30,43.94,$2.98,14.76
2018-03-31,39.67,$2.67,14.86
2017-12-31,39.85,$2.58,15.46
2017-09-30,36.17,$2.46,14.67
2017-06-30,33.66,$2.47,13.64
2017-03-31,33.44,$2.53,13.22
2016-12-31,26.84,$2.49,10.79
2016-09-30,26.07,$2.43,10.72
2016-06-30,21.92,$2.29,9.59
2016-03-31,24.84,$2.49,9.97
2015-12-31,23.86,$2.79,8.55
2015-09-30,24.82,$3.02,8.21
2015-06-30,28.19,$2.97,9.49
2015-03-31,27.85,$2.74,10.17
2014-12-31,24.61,$2.52,9.75
2014-09-30,22.36,$2.05,10.92
2014-06-30,20.53,$1.98,10.39
2014-03-31,16.84,$1.88,8.94
2013-12-31,17.5,$1.77,9.9
2013-09-30,14.78,$1.74,8.48
2013-06-30,12.22,$1.67,7.32
2013-03-31,13.55,$1.71,7.9
2012-12-31,16.19,$1.79,9.06
2012-09-30,20.2,$1.61,12.57
2012-06-30,17.61,$1.73,10.2
2012-03-31,18.08,$1.82,9.96
2011-12-31,12.21,$1.56,7.85
2011-09-30,11.5,$1.27,9.07
2011-06-30,10.12,$1.12,9.01
2011-03-31,10.51,$0.89,11.78
2010-12-31,9.73,$0.76,12.83
2010-09-30,8.56,$0.64,13.36
2010-06-30,7.59,$0.55,13.68
2010-03-31,7.09,$0.47,15.01
2009-12-31,6.36,$0.56,11.25
