ServiceNow Price to Free Cash Flow Ratio Historical Data,ServiceNow Price to Free Cash Flow Ratio Historical Data,ServiceNow Price to Free Cash Flow Ratio Historical Data,ServiceNow Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,855.0,,57.35
2024-06-30,786.67,$14.91,52.77
2024-03-31,762.4,$15.35,49.66
2023-12-31,706.49,$13.15,53.72
2023-09-30,558.96,$11.58,48.26
2023-06-30,561.97,$11.27,49.89
2023-03-31,464.72,$10.49,44.31
2022-12-31,388.27,$10.68,36.37
2022-09-30,377.61,$9.35,40.4
2022-06-30,475.52,$9.94,47.85
2022-03-31,556.89,$9.59,58.09
2021-12-31,649.11,$8.85,73.31
2021-09-30,622.27,$7.90,78.74
2021-06-30,549.55,$7.54,72.85
2021-03-31,500.11,$7.77,64.36
2020-12-31,550.43,$6.75,81.53
2020-09-30,485.0,$5.79,83.8
2020-06-30,405.06,$5.51,73.51
2020-03-31,286.58,$5.25,54.63
2019-12-31,282.32,$4.92,57.34
2019-09-30,253.85,$4.47,56.76
2019-06-30,274.57,$4.40,62.46
2019-03-31,246.49,$3.89,63.31
2018-12-31,178.05,$3.30,53.98
2018-09-30,195.63,$2.89,67.71
2018-06-30,172.47,$3.05,56.59
2018-03-31,165.45,$3.09,53.54
2017-12-31,130.39,$2.88,45.33
2017-09-30,117.53,$2.66,44.17
2017-06-30,106.0,$2.52,42.01
2017-03-31,87.47,$0.93,93.62
2016-12-31,74.34,$0.33,228.53
2016-09-30,79.15,$0.19,421.01
2016-06-30,66.4,$0.05,1406.78
2016-03-31,61.18,$1.52,40.33
2015-12-31,86.56,$1.48,58.53
2015-09-30,69.45,$1.23,56.48
2015-06-30,74.31,$1.01,73.51
2015-03-31,78.78,$0.77,102.26
2014-12-31,67.85,$0.60,113.94
2014-09-30,58.78,$0.46,127.45
2014-06-30,61.96,$0.45,139.11
2014-03-31,59.92,$0.25,236.93
2013-12-31,56.01,$0.20,287.08
2013-09-30,51.95,$0.14,376.72
2013-06-30,40.39,$0.01,0.0
2013-03-31,36.2,$0.13,286.85
