NXP Semiconductors Price to Free Cash Flow Ratio Historical Data,NXP Semiconductors Price to Free Cash Flow Ratio Historical Data,NXP Semiconductors Price to Free Cash Flow Ratio Historical Data,NXP Semiconductors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,256.36,,22.59
2024-06-30,269.09,$11.35,23.71
2024-03-31,246.86,$11.24,21.96
2023-12-31,227.88,$10.28,22.17
2023-09-30,197.44,$9.82,20.11
2023-06-30,201.12,$10.06,20.0
2023-03-31,182.29,$10.01,18.2
2022-12-31,153.61,$10.71,14.34
2022-09-30,142.68,$9.21,15.48
2022-06-30,142.43,$8.68,16.42
2022-03-31,177.19,$8.37,21.18
2021-12-31,217.0,$8.26,26.26
2021-09-30,186.13,$9.75,19.09
2021-06-30,194.97,$8.67,22.49
2021-03-31,190.29,$8.11,23.45
2020-12-31,149.82,$7.38,20.31
2020-09-30,117.32,$6.51,18.03
2020-06-30,106.88,$7.11,15.04
2020-03-31,77.45,$7.33,10.57
2019-12-31,118.39,$6.54,18.1
2019-09-30,101.2,$5.82,17.39
2019-06-30,90.22,$11.29,7.99
2019-03-31,81.49,$10.63,7.67
2018-12-31,67.38,$11.44,5.89
2018-09-30,78.36,$10.83,7.24
2018-06-30,99.87,$4.47,22.34
2018-03-31,106.94,$5.39,19.84
2017-06-30,100.04,$5.84,17.14
2017-03-31,94.6,$5.90,16.02
2016-12-31,89.58,$5.51,16.26
2016-09-30,93.24,$2.30,40.58
2016-06-30,71.6,$2.63,27.22
2016-03-31,74.1,$2.68,27.7
2015-12-31,77.01,$2.75,28.03
2017-12-31,107.02,$5.49,19.51
2015-09-30,79.58,$5.16,15.42
2015-06-30,89.76,$5.36,16.76
2015-03-31,91.73,$4.96,18.5
2014-12-31,69.83,$4.60,15.19
2014-09-30,62.55,$3.77,16.57
2014-06-30,60.49,$3.42,17.7
2014-03-31,53.75,$3.23,16.65
2013-12-31,41.98,$2.67,15.7
2013-09-30,34.01,$2.21,15.36
2013-06-30,28.35,$1.64,17.25
2013-03-31,27.69,$1.99,13.89
2012-12-31,24.06,$1.91,12.62
2012-09-30,22.86,$-2.46,0.0
2012-06-30,21.23,$0.73,29.27
2012-03-31,24.32,$0.28,86.55
2011-12-31,14.05,$0.09,150.09
2017-09-30,103.36,$3.73,27.71
2011-09-30,12.91,$0.54,23.93
2011-06-30,24.43,$0.44,55.34
