Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,59.14,,0.0
2024-06-30,52.39,$-2.72,0.0
2024-03-31,52.19,$-2.13,0.0
2023-12-31,50.4,$-1.53,0.0
2023-09-30,48.34,$-1.45,0.0
2023-06-30,55.1,$-0.98,0.0
2023-03-31,57.05,$-1.17,0.0
2022-12-31,58.14,$-1.58,0.0
2022-09-30,54.31,$-1.74,0.0
2022-06-30,59.18,$-2.09,0.0
2022-03-31,61.45,$-4.68,0.0
2021-12-31,61.15,$-4.30,0.0
2021-09-30,54.95,$-1.06,0.0
2021-06-30,52.97,$-2.75,0.0
2020-12-31,47.78,$0.85,56.18
2020-09-30,43.31,$6.03,7.19
2020-06-30,50.04,$1.75,28.6
2020-03-31,46.06,$4.39,10.49
2019-12-31,54.07,$4.58,11.8
2021-03-31,51.74,$0.36,141.78
2019-09-30,54.85,$2.71,20.24
2019-06-30,49.21,$2.46,19.99
2019-03-31,47.11,$1.62,29.17
2018-12-31,45.67,$2.00,22.84
2018-09-30,43.83,$1.62,26.99
2018-06-30,44.45,$0.97,45.91
2018-03-31,41.64,$1.20,34.61
2017-12-31,41.8,$1.04,40.25
2017-09-30,39.27,$0.17,231.4
2017-06-30,41.98,$-0.90,0.0
2017-03-31,42.97,$-1.68,0.0
2016-12-31,44.61,$-1.99,0.0
2016-09-30,44.93,$-1.49,0.0
2016-06-30,44.41,$-0.37,0.0
2016-03-31,39.28,$0.05,863.22
2015-12-31,33.58,$0.11,296.61
2015-09-30,30.43,$0.48,63.73
2015-06-30,27.09,$0.14,190.92
2015-03-31,30.69,$-0.16,0.0
2014-12-31,32.65,$-0.21,0.0
2014-09-30,27.01,$-0.55,0.0
2014-06-30,30.24,$-0.38,0.0
2014-03-31,27.84,$-0.54,0.0
2013-12-31,25.47,$-0.60,0.0
2013-09-30,24.01,$-0.57,0.0
2013-06-30,24.75,$-0.50,0.0
2013-03-31,25.42,$-0.58,0.0
2012-12-31,21.46,$-1.66,0.0
2012-09-30,21.99,$-1.64,0.0
2012-06-30,21.96,$-2.08,0.0
2012-03-31,20.25,$-2.45,0.0
2011-12-31,20.37,$-1.98,0.0
2011-09-30,18.48,$-2.04,0.0
2011-06-30,18.6,$-1.79,0.0
2011-03-31,18.04,$-0.37,0.0
2010-12-31,16.97,$0.61,28.01
2010-09-30,16.14,$0.95,16.99
2010-06-30,14.21,$0.43,32.94
2010-03-31,14.26,$0.19,76.95
2009-12-31,13.69,$-0.70,0.0
