PayPal Holdings Price to Free Cash Flow Ratio Historical Data,PayPal Holdings Price to Free Cash Flow Ratio Historical Data,PayPal Holdings Price to Free Cash Flow Ratio Historical Data,PayPal Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,72.43,,11.64
2024-06-30,58.03,$6.22,9.32
2024-03-31,66.99,$4.61,14.52
2023-12-31,61.41,$3.85,15.94
2023-09-30,58.46,$2.87,20.37
2023-06-30,66.73,$3.22,20.75
2023-03-31,75.94,$4.42,17.18
2022-12-31,71.22,$4.41,16.13
2022-09-30,86.07,$4.03,21.34
2022-06-30,69.84,$3.76,18.6
2022-03-31,115.65,$3.71,31.15
2021-12-31,188.58,$4.13,45.7
2021-09-30,260.21,$4.53,57.4
2021-06-30,291.48,$4.34,67.17
2021-03-31,242.84,$4.78,50.84
2020-12-31,234.2,$4.61,50.79
2020-09-30,197.03,$3.86,51.1
2020-06-30,174.23,$3.76,46.39
2020-03-31,95.74,$3.29,29.07
2019-12-31,108.17,$2.85,37.97
2019-09-30,103.59,$3.09,33.53
2019-06-30,114.46,$6.01,19.05
2019-03-31,103.84,$4.99,20.82
2018-12-31,84.09,$3.87,21.71
2018-09-30,87.84,$2.86,30.68
2018-06-30,83.27,$-0.16,0.0
2018-03-31,75.87,$0.60,126.94
2017-12-31,73.62,$1.53,48.22
2017-09-30,64.03,$2.42,26.46
2017-06-30,53.67,$2.25,23.86
2017-03-31,43.02,$2.05,21.03
2016-12-31,39.47,$2.04,19.31
2016-09-30,40.97,$1.87,21.88
2016-06-30,36.51,$2.41,15.15
