Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data,Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data,Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data,Hewlett Packard Enterprise Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,19.37,,7.21
2024-04-30,16.9,$2.69,6.29
2024-01-31,15.09,$2.41,6.26
2023-10-31,15.06,$1.67,9.0
2023-07-31,16.89,$1.55,10.88
2023-04-30,13.82,$1.27,10.9
2023-01-31,15.44,$0.89,17.34
2022-10-31,13.56,$1.57,8.65
2022-07-31,13.41,$1.56,8.6
2022-04-30,14.39,$1.51,9.55
2022-01-31,15.14,$1.94,7.82
2021-10-31,13.48,$2.80,4.81
2021-07-31,13.23,$1.26,10.48
2021-04-30,14.5,$1.59,9.14
2021-01-31,11.08,$1.00,11.06
2020-10-31,7.68,$0.43,17.75
2020-07-31,8.67,$0.89,9.77
2020-04-30,8.74,$0.66,13.15
2020-01-31,11.97,$1.27,9.45
2019-10-31,14.0,$1.27,11.0
2019-07-31,12.26,$1.31,9.37
2019-04-30,13.38,$1.29,10.35
2019-01-31,13.2,$0.83,15.93
2018-10-31,12.81,$0.71,18.05
2018-07-31,12.88,$0.27,47.1
2018-04-30,14.12,$0.10,142.82
2018-01-31,13.53,$0.27,50.46
2017-10-31,11.43,$-0.67,0.0
2017-07-31,14.3,$0.00,0.0
2017-04-30,15.16,$0.26,57.73
2017-01-31,13.84,$0.55,24.98
2016-10-31,13.67,$1.28,10.68
