Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data,Intuit Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,630.26,,47.41
2024-04-30,624.73,$13.29,46.99
2024-01-31,629.55,$0.42,1515.17
2023-07-31,508.62,$16.91,30.07
2023-04-30,440.51,$27.60,15.96
2023-01-31,418.66,$14.59,28.7
2022-10-31,422.61,$25.17,16.79
2022-07-31,450.1,$24.34,18.49
2023-10-31,492.82,$11.19,44.06
2022-04-30,412.49,$13.83,29.83
2022-01-31,546.16,$10.95,49.88
2021-10-31,615.03,$11.79,52.15
2021-07-31,520.03,$11.45,45.43
2021-04-30,403.96,$10.42,38.77
2021-01-31,353.54,$9.09,38.9
2020-10-31,307.5,$9.28,33.15
2020-07-31,298.85,$8.63,34.65
2020-04-30,262.74,$7.09,37.05
2020-01-31,272.46,$8.23,33.1
2019-10-31,249.74,$8.27,30.22
2019-07-31,268.42,$8.22,32.67
2019-04-30,242.59,$8.56,28.34
2019-01-31,208.16,$7.69,27.07
2018-10-31,203.04,$7.44,27.28
2018-07-31,196.12,$7.62,25.75
2018-04-30,177.11,$6.50,27.26
2018-01-31,160.55,$5.79,27.72
2017-10-31,144.07,$5.87,24.53
2017-07-31,130.54,$5.25,24.89
2017-04-30,118.82,$5.15,23.07
2017-01-31,112.2,$4.36,25.72
2016-10-31,102.59,$3.36,30.53
2016-07-31,104.39,$3.54,29.49
2016-04-30,94.64,$4.16,22.78
2016-01-31,89.34,$3.19,28.03
2015-10-31,90.84,$4.30,21.13
2015-07-31,98.29,$4.64,21.17
2015-04-30,93.01,$4.93,18.87
2015-01-31,80.28,$4.62,17.39
2014-10-31,81.16,$4.55,17.84
2014-07-31,75.36,$4.33,17.4
2014-04-30,69.48,$4.08,17.05
2014-01-31,67.02,$4.05,16.55
2013-10-31,65.17,$3.77,17.29
2013-07-31,58.17,$3.86,15.05
2013-04-30,54.13,$3.82,14.16
2013-01-31,56.46,$3.27,17.25
2012-10-31,53.64,$3.26,16.44
2012-07-31,52.23,$3.48,15.03
2012-04-30,52.05,$3.69,14.09
2012-01-31,50.55,$3.12,16.23
2011-10-31,47.93,$-0.54,0.0
2011-07-31,41.57,$-0.60,0.0
2011-04-30,49.46,$3.13,15.78
2011-01-31,41.78,$0.26,160.19
2010-07-31,35.39,$2.67,13.25
2010-04-30,32.22,$5.99,5.38
2010-01-31,26.36,$2.03,12.99
2009-10-31,25.88,$4.12,6.27
2009-07-31,26.44,$4.13,6.41
