W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data,W.R Berkley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,59.7,,7.46
2024-06-30,52.39,$8.01,6.54
2024-03-31,58.51,$7.59,7.71
2023-12-31,46.73,$7.02,6.66
2023-09-30,41.59,$7.14,5.82
2023-06-30,38.65,$6.31,6.13
2023-03-31,40.33,$5.78,6.98
2022-12-31,46.61,$5.90,7.9
2022-09-30,41.42,$5.60,7.39
2022-06-30,43.71,$5.75,7.6
2022-03-31,42.27,$5.89,7.18
2021-12-31,34.82,$5.44,6.4
2021-09-30,30.49,$5.56,5.49
2021-06-30,30.95,$4.91,6.3
2021-03-31,31.07,$4.61,6.74
2020-12-31,27.34,$4.14,6.61
2020-09-30,25.13,$3.25,7.74
2020-06-30,23.5,$2.76,8.51
2020-03-31,21.35,$2.36,9.05
2019-12-31,28.23,$2.15,13.16
2019-09-30,29.14,$1.89,15.45
2019-06-30,26.56,$1.52,17.45
2019-03-31,22.54,$1.04,21.7
2018-12-31,19.63,$0.13,150.65
2018-09-30,21.05,$-0.18,0.0
2018-06-30,18.92,$0.00,0.0
2018-03-31,18.95,$-0.07,0.0
2017-12-31,18.64,$0.82,22.66
2017-09-30,17.21,$0.70,24.45
2017-06-30,17.79,$0.75,23.6
2017-03-31,18.0,$1.01,17.82
2016-12-31,16.92,$1.15,14.73
2016-09-30,14.54,$1.48,9.85
2016-06-30,14.91,$1.30,11.51
2016-03-31,13.95,$1.51,9.27
2015-12-31,13.56,$1.35,10.02
2015-09-30,13.44,$1.40,9.62
2015-06-30,12.81,$1.20,10.68
2015-03-31,12.43,$1.63,7.61
2014-12-31,12.59,$1.83,6.9
2014-09-30,11.48,$1.67,6.9
2014-06-30,11.1,$1.97,5.65
2014-03-31,9.95,$1.39,7.17
2013-12-31,10.35,$1.37,7.57
2013-09-30,10.2,$1.15,8.9
2013-06-30,9.7,$0.75,12.92
2013-03-31,10.51,$0.87,12.14
2012-12-31,8.92,$0.78,11.4
2012-09-30,8.62,$1.62,5.32
2012-06-30,8.93,$1.49,6.01
2012-03-31,8.27,$1.21,6.81
2011-12-31,7.85,$1.07,7.31
2011-09-30,6.76,$0.29,23.12
2011-06-30,7.37,$0.61,11.99
2011-03-31,7.3,$0.65,11.19
2010-12-31,6.19,$0.77,8.07
2010-09-30,6.1,$0.93,6.6
2010-06-30,5.95,$0.86,6.93
2010-03-31,5.85,$0.56,10.42
2009-12-31,5.52,$0.51,10.86
