Gildan Activewear Price to Free Cash Flow Ratio Historical Data,Gildan Activewear Price to Free Cash Flow Ratio Historical Data,Gildan Activewear Price to Free Cash Flow Ratio Historical Data,Gildan Activewear Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.41,,18.45
2024-06-30,37.74,$2.57,14.69
2024-03-31,36.74,$2.66,13.83
2023-12-31,32.51,$1.95,16.69
2023-09-30,27.4,$1.39,19.78
2023-06-30,31.34,$0.12,266.98
2023-03-31,32.06,$0.26,121.2
2022-12-31,26.3,$0.94,27.84
2022-09-30,26.98,$0.41,65.92
2022-06-30,27.32,$1.65,16.52
2022-03-31,35.37,$2.00,17.67
2021-12-31,39.83,$2.48,16.06
2021-09-30,34.18,$3.82,8.94
2021-06-30,34.32,$3.34,10.28
2021-03-31,28.38,$3.03,9.35
2020-12-31,25.92,$1.84,14.11
2020-09-30,18.2,$1.63,11.18
2020-06-30,14.34,$1.37,10.45
2020-03-31,11.81,$0.61,19.43
2019-12-31,27.11,$1.16,23.3
2019-09-30,32.44,$1.16,27.96
2019-06-30,35.21,$1.31,26.95
2019-03-31,32.63,$1.68,19.36
2018-12-31,27.43,$2.11,13.01
2018-09-30,27.4,$1.66,16.56
2018-06-30,25.26,$1.75,14.43
2018-03-31,25.81,$1.96,13.14
2017-12-31,28.75,$2.32,12.37
2017-09-30,27.76,$2.18,12.72
2017-06-30,27.18,$2.31,11.78
2017-03-31,23.84,$2.13,11.18
2016-12-31,22.29,$1.73,12.85
2016-09-30,24.48,$1.05,23.4
2016-06-30,25.62,$0.86,29.92
2016-03-31,26.58,$0.39,68.5
2015-12-31,24.69,$0.16,150.08
2015-09-30,26.14,$-0.16,0.0
2015-06-30,28.76,$-0.33,0.0
2015-03-31,25.49,$-0.36,0.0
2014-12-31,24.36,$-0.51,0.0
2014-09-30,23.51,$-1.46,0.0
2014-06-30,25.25,$-1.45,0.0
2014-03-31,21.57,$-0.79,0.0
2013-12-31,22.77,$-0.28,0.0
2013-09-30,19.8,$0.57,34.49
2013-06-30,17.23,$0.77,22.45
2013-03-31,16.94,$0.64,26.45
2012-12-31,15.49,$0.09,167.47
2012-09-30,13.38,$-0.05,0.0
2012-06-30,11.6,$-0.44,0.0
2012-03-31,11.57,$-0.90,0.0
2011-12-31,7.87,$-0.56,0.0
2011-09-30,10.77,$-0.72,0.0
2011-06-30,14.62,$-0.74,0.0
2011-03-31,13.59,$-0.54,0.0
2010-12-31,11.78,$-0.10,0.0
2010-09-30,11.62,$0.37,31.52
2010-06-30,11.85,$0.59,20.0
2010-03-31,10.87,$0.57,19.19
2009-12-31,10.08,$0.16,61.49
