SiTime Price to Free Cash Flow Ratio Historical Data,SiTime Price to Free Cash Flow Ratio Historical Data,SiTime Price to Free Cash Flow Ratio Historical Data,SiTime Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,173.0,,0.0
2024-06-30,124.38,$-0.59,0.0
2024-03-31,93.23,$-0.54,0.0
2023-12-31,122.08,$-0.04,0.0
2023-09-30,114.25,$0.06,1845.72
2023-06-30,117.97,$-0.07,0.0
2023-03-31,142.23,$0.25,570.06
2022-12-31,101.62,$0.35,289.35
2022-09-30,78.73,$1.10,71.68
2022-06-30,163.03,$2.18,74.86
2022-03-31,247.82,$1.76,140.49
2021-12-31,292.54,$1.33,219.34
2021-09-30,204.17,$0.98,209.1
2021-06-30,126.59,$0.55,231.68
2021-03-31,98.6,$0.78,126.8
2020-12-31,111.93,$0.86,129.5
2020-09-30,84.03,$0.82,102.25
