Sterling Infrastructure Price to Free Cash Flow Ratio Historical Data,Sterling Infrastructure Price to Free Cash Flow Ratio Historical Data,Sterling Infrastructure Price to Free Cash Flow Ratio Historical Data,Sterling Infrastructure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,165.4,,12.82
2024-06-30,118.34,$12.90,9.17
2024-03-31,110.31,$9.32,11.83
2023-12-31,87.93,$10.66,8.25
2023-09-30,73.48,$8.88,8.27
2023-06-30,55.8,$4.46,12.5
2022-12-31,32.8,$5.34,6.14
2022-09-30,21.47,$3.68,5.83
2022-06-30,21.92,$2.05,10.69
2022-03-31,26.8,$3.46,7.75
2021-12-31,26.3,$4.00,6.58
2021-09-30,22.67,$4.11,5.52
2021-06-30,24.13,$4.31,5.6
2021-03-31,23.2,$2.87,8.09
2020-12-31,18.61,$3.28,5.68
2020-09-30,14.16,$2.68,5.28
2020-06-30,10.47,$2.48,4.22
2023-03-31,37.88,$2.84,13.35
2020-03-31,9.5,$2.03,4.68
2019-12-31,14.08,$1.03,13.64
2019-09-30,13.15,$0.44,30.16
2019-06-30,13.42,$1.16,11.61
2019-03-31,12.52,$1.04,12.0
2018-12-31,10.89,$1.03,10.54
2018-09-30,14.32,$1.43,10.0
2018-06-30,13.03,$1.05,12.45
2018-03-31,11.46,$0.19,59.63
2017-12-31,16.28,$0.89,18.33
2017-09-30,15.23,$0.54,28.3
2017-06-30,13.07,$0.00,0.0
2017-03-31,9.25,$0.92,10.09
2016-12-31,8.46,$1.44,5.86
2016-09-30,7.74,$1.33,5.81
2016-06-30,4.91,$1.03,4.78
2015-12-31,6.08,$0.47,12.9
2015-09-30,4.11,$0.38,10.84
2015-06-30,4.0,$-0.58,0.0
2015-03-31,4.52,$-0.33,0.0
2014-12-31,6.39,$-0.99,0.0
2014-09-30,7.67,$-1.92,0.0
2014-06-30,9.38,$-0.49,0.0
2014-03-31,8.67,$-1.64,0.0
2013-12-31,11.73,$-1.78,0.0
2013-09-30,9.25,$-0.47,0.0
2013-06-30,9.06,$-2.64,0.0
2013-03-31,10.89,$-0.79,0.0
2012-12-31,9.94,$-0.01,0.0
2012-09-30,9.98,$0.09,109.31
2012-06-30,10.22,$1.12,9.14
2012-03-31,9.75,$-0.01,0.0
2011-12-31,10.77,$-0.10,0.0
2011-09-30,11.17,$-0.53,0.0
2011-06-30,13.77,$0.40,34.45
2011-03-31,16.88,$1.17,14.44
2010-12-31,13.04,$2.13,6.12
2010-09-30,12.38,$2.07,5.97
2010-06-30,12.94,$2.14,6.06
2010-03-31,15.72,$3.60,4.37
2009-12-31,19.14,$3.07,6.24
2009-09-30,17.91,$2.74,6.54
