Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data,Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data,Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data,Allison Transmission Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,100.35,,13.16
2024-06-30,75.68,$7.62,9.93
2024-03-31,80.66,$7.23,11.16
2023-12-31,57.6,$7.24,7.95
2023-09-30,58.25,$6.63,8.78
2023-06-30,55.47,$6.49,8.55
2023-03-31,44.23,$5.51,8.03
2022-12-31,40.48,$5.10,7.93
2022-09-30,32.69,$4.68,6.99
2022-06-30,37.04,$4.26,8.69
2022-03-31,37.61,$4.78,7.87
2021-12-31,34.64,$4.30,8.06
2021-09-30,33.49,$4.47,7.49
2021-06-30,37.49,$4.09,9.17
2021-03-31,38.36,$3.77,10.17
2020-12-31,40.32,$3.91,10.31
2020-09-30,32.71,$3.70,8.84
2020-06-30,34.08,$4.03,8.46
2020-03-31,30.06,$5.20,5.78
2019-12-31,44.35,$5.49,8.08
2019-09-30,43.04,$5.86,7.35
2019-06-30,42.26,$6.14,6.88
2019-03-31,40.82,$5.86,6.97
2018-12-31,39.78,$5.50,7.23
2018-09-30,46.97,$4.93,9.53
2018-06-30,36.45,$4.59,7.95
2018-03-31,35.04,$4.15,8.44
2017-12-31,38.49,$3.78,10.18
2017-09-30,33.41,$3.89,8.59
2017-06-30,33.25,$3.20,10.38
2017-03-31,31.83,$3.07,10.36
2016-12-31,29.62,$3.08,9.63
2016-09-30,25.09,$3.07,8.18
2016-06-30,24.56,$3.25,7.57
2016-03-31,23.34,$3.11,7.51
2015-12-31,22.26,$2.95,7.55
2015-09-30,22.82,$2.84,8.02
2015-06-30,24.89,$2.85,8.72
2015-03-31,27.04,$2.81,9.61
2014-12-31,28.56,$2.79,10.23
2014-09-30,23.9,$2.70,8.84
2014-06-30,25.98,$2.44,10.64
2014-03-31,24.91,$2.32,10.75
2013-12-31,22.88,$2.07,11.05
2013-09-30,20.66,$1.89,10.91
2013-06-30,18.94,$1.85,10.21
2013-03-31,19.6,$1.67,11.72
2012-12-31,16.63,$2.01,8.29
