Taylor Morrison Home Price to Free Cash Flow Ratio Historical Data,Taylor Morrison Home Price to Free Cash Flow Ratio Historical Data,Taylor Morrison Home Price to Free Cash Flow Ratio Historical Data,Taylor Morrison Home Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.95,,0.0
2024-06-30,55.44,$-1.83,0.0
2024-03-31,62.17,$2.70,23.06
2023-12-31,53.35,$7.02,7.6
2023-09-30,42.61,$9.98,4.27
2023-06-30,48.77,$13.02,3.75
2023-03-31,38.26,$11.88,3.22
2022-12-31,30.35,$9.27,3.27
2022-09-30,23.32,$7.57,3.08
2022-06-30,23.36,$5.22,4.48
2022-03-31,27.22,$4.36,6.24
2021-12-31,34.96,$2.78,12.59
2021-09-30,25.78,$1.58,16.35
2021-06-30,26.42,$5.15,5.13
2021-03-31,30.81,$6.70,4.6
2020-12-31,25.65,$8.40,3.05
2020-09-30,24.59,$7.97,3.08
2020-06-30,19.29,$4.46,4.33
2020-03-31,11.0,$4.20,2.62
2019-12-31,21.86,$3.35,6.52
2019-09-30,25.94,$1.89,13.69
2019-06-30,20.96,$2.23,9.4
2019-03-31,17.75,$0.71,25.05
2018-12-31,15.9,$1.00,15.9
2018-09-30,18.04,$2.45,7.36
2018-06-30,20.78,$2.36,8.79
2018-03-31,23.28,$1.92,12.1
2017-12-31,24.47,$3.17,7.73
2017-09-30,22.05,$2.97,7.42
2017-06-30,24.01,$3.35,7.18
2017-03-31,21.32,$4.44,4.81
2016-12-31,19.26,$3.07,6.28
2016-09-30,17.6,$1.23,14.31
2016-06-30,14.84,$0.76,19.41
2016-03-31,14.12,$-0.93,0.0
2015-12-31,16.0,$-2.18,0.0
2015-09-30,18.66,$-0.30,0.0
2015-06-30,20.36,$-0.65,0.0
2015-03-31,20.85,$-0.51,0.0
2014-12-31,18.89,$-1.12,0.0
2014-09-30,16.22,$-1.54,0.0
2014-06-30,22.42,$-1.74,0.0
2014-03-31,23.5,$-3.28,0.0
