CRISPR Therapeutics AG Price to Free Cash Flow Ratio Historical Data,CRISPR Therapeutics AG Price to Free Cash Flow Ratio Historical Data,CRISPR Therapeutics AG Price to Free Cash Flow Ratio Historical Data,CRISPR Therapeutics AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.29,,0.0
2024-06-30,54.01,$-1.60,0.0
2024-03-31,68.16,$-2.15,0.0
2023-12-31,62.6,$-3.41,0.0
2023-09-30,45.39,$-3.74,0.0
2023-06-30,56.14,$-4.61,0.0
2023-03-31,45.23,$-4.83,0.0
2022-12-31,40.65,$-6.85,0.0
2022-09-30,65.35,$-6.85,0.0
2022-06-30,60.77,$-6.55,0.0
2022-03-31,62.77,$5.17,12.14
2021-12-31,75.78,$5.69,13.32
2021-09-30,111.93,$5.76,19.42
2021-06-30,161.89,$5.88,27.53
2021-03-31,121.85,$-4.42,0.0
2020-12-31,153.11,$-3.89,0.0
2020-09-30,83.64,$-2.36,0.0
2020-06-30,73.49,$1.01,72.59
2020-03-31,42.41,$0.83,50.96
2019-12-31,60.91,$0.88,69.36
2019-09-30,40.99,$-0.19,0.0
2019-06-30,47.1,$-3.13,0.0
2019-03-31,35.72,$-2.93,0.0
2018-12-31,28.57,$-2.44,0.0
2018-06-30,58.76,$-1.89,0.0
2018-03-31,45.71,$-1.78,0.0
2017-12-31,23.48,$-1.94,0.0
2017-09-30,17.87,$-4.86,0.0
2017-06-30,16.02,$-5.86,0.0
