Brunswick Price to Free Cash Flow Ratio Historical Data,Brunswick Price to Free Cash Flow Ratio Historical Data,Brunswick Price to Free Cash Flow Ratio Historical Data,Brunswick Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.17,,17.72
2024-06-30,72.38,$4.75,15.24
2024-03-31,95.52,$5.00,19.09
2023-12-31,95.29,$6.51,14.63
2023-09-30,77.41,$5.80,13.36
2023-06-30,84.48,$4.59,18.4
2023-03-31,79.54,$4.40,18.06
2022-12-31,69.6,$2.78,25.03
2022-09-30,62.88,$0.54,116.1
2022-06-30,62.53,$0.39,159.72
2022-03-31,77.01,$1.28,59.99
2021-12-31,95.16,$4.01,23.75
2021-09-30,89.71,$4.92,18.22
2021-06-30,93.49,$9.17,10.2
2021-03-31,89.22,$9.05,9.85
2020-12-31,71.11,$7.76,9.16
2020-09-30,54.76,$8.46,6.47
2020-06-30,59.27,$3.99,14.85
2020-03-31,32.61,$2.65,12.32
2019-12-31,55.08,$2.44,22.57
2019-09-30,47.66,$0.93,51.36
2019-06-30,41.77,$0.48,87.63
2019-03-31,45.61,$1.07,42.51
2018-12-31,41.93,$1.78,23.52
2018-09-30,60.25,$2.71,22.22
2018-06-30,57.8,$3.12,18.53
2018-03-31,53.08,$2.87,18.49
2017-12-31,49.19,$2.55,19.25
2017-09-30,49.68,$2.13,23.38
2017-06-30,55.5,$2.03,27.37
2017-03-31,53.98,$2.58,20.94
2016-12-31,47.98,$2.64,18.14
2016-09-30,42.76,$2.67,16.04
2016-06-30,39.6,$3.34,11.85
2016-03-31,41.79,$2.63,15.87
2015-12-31,43.83,$2.32,18.89
2015-09-30,41.45,$2.18,19.03
2015-06-30,43.91,$1.43,30.61
2015-03-31,44.31,$0.98,45.26
2014-12-31,44.05,$1.36,32.42
2014-09-30,36.12,$0.71,51.09
2014-06-30,36.0,$0.71,50.59
2014-03-31,38.61,$0.65,59.06
2013-12-31,39.18,$0.69,56.79
2013-09-30,33.87,$0.79,42.7
2013-06-30,27.11,$0.87,31.02
2013-03-31,29.04,$-0.79,0.0
2012-12-31,24.69,$0.38,64.8
2012-09-30,19.16,$-0.07,0.0
2012-06-30,18.82,$1.22,15.41
2011-12-31,15.29,$0.35,43.39
2011-09-30,11.85,$3.12,3.79
2011-06-30,17.22,$2.50,6.9
2011-03-31,21.47,$1.42,15.16
2010-12-31,15.82,$3.44,4.6
2012-03-31,21.81,$1.05,20.84
2010-09-30,12.81,$1.70,7.55
2010-06-30,10.46,$1.84,5.69
2010-03-31,13.44,$0.92,14.59
2009-12-31,10.7,$1.19,8.99
