Blueprint Medicines Price to Free Cash Flow Ratio Historical Data,Blueprint Medicines Price to Free Cash Flow Ratio Historical Data,Blueprint Medicines Price to Free Cash Flow Ratio Historical Data,Blueprint Medicines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,86.0,,0.0
2024-06-30,107.78,$-5.64,0.0
2024-03-31,94.86,$-7.00,0.0
2023-12-31,92.24,$-7.48,0.0
2023-09-30,50.22,$-8.16,0.0
2023-06-30,63.2,$-8.57,0.0
2023-03-31,44.99,$-8.40,0.0
2022-12-31,43.81,$-8.57,0.0
2022-09-30,65.89,$-6.77,0.0
2022-06-30,50.51,$-6.18,0.0
2022-03-31,63.88,$-5.24,0.0
2021-12-31,107.11,$-5.16,0.0
2021-09-30,102.81,$-5.26,0.0
2021-06-30,87.96,$7.51,11.71
2021-03-31,97.23,$6.77,14.36
2020-12-31,112.15,$6.83,16.41
2020-09-30,92.7,$6.08,15.26
2020-06-30,78.0,$-6.65,0.0
2020-03-31,58.48,$-6.35,0.0
2019-12-31,80.11,$-6.11,0.0
2019-09-30,73.47,$-6.53,0.0
2019-06-30,94.33,$-6.25,0.0
2019-03-31,80.05,$-4.86,0.0
2018-12-31,53.91,$-4.28,0.0
2018-09-30,78.06,$-4.01,0.0
2018-06-30,63.48,$-3.47,0.0
2018-03-31,91.7,$-3.92,0.0
2017-12-31,75.41,$-3.58,0.0
2017-09-30,69.67,$-2.98,0.0
2017-06-30,50.67,$-2.91,0.0
2017-03-31,39.99,$-3.01,0.0
2016-12-31,28.05,$-0.98,0.0
2016-09-30,29.7,$-1.56,0.0
2016-06-30,20.25,$-1.22,0.0
2016-03-31,18.05,$-0.92,0.0
