DXC Technology Price to Free Cash Flow Ratio Historical Data,DXC Technology Price to Free Cash Flow Ratio Historical Data,DXC Technology Price to Free Cash Flow Ratio Historical Data,DXC Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.26,,3.75
2024-06-30,19.09,$5.67,3.37
2024-03-31,21.21,$5.18,4.1
2023-12-31,22.87,$5.83,3.92
2023-09-30,20.83,$4.90,4.25
2023-06-30,26.72,$4.68,5.71
2023-03-31,25.56,$4.94,5.18
2022-12-31,26.5,$4.03,6.57
2022-09-30,24.48,$3.94,6.22
2022-06-30,30.31,$5.07,5.98
2022-03-31,32.63,$4.12,7.92
2021-12-31,32.19,$2.60,12.38
2021-09-30,33.61,$-1.07,0.0
2021-06-30,38.94,$-1.52,0.0
2021-03-31,31.26,$-0.89,0.0
2020-12-31,25.75,$0.50,51.47
2020-09-30,17.85,$3.40,5.25
2020-06-30,16.5,$7.83,2.11
2020-03-31,13.05,$7.11,1.84
2019-12-31,37.07,$8.97,4.13
2019-09-30,28.93,$8.41,3.44
2019-06-30,53.72,$3.93,13.67
2019-03-31,62.37,$5.62,11.1
2018-12-31,51.42,$4.95,10.39
2018-09-30,90.44,$5.26,17.2
2018-06-30,77.79,$7.03,11.06
2018-03-31,83.9,$7.56,11.1
