National Fuel Gas Price to Free Cash Flow Ratio Historical Data,National Fuel Gas Price to Free Cash Flow Ratio Historical Data,National Fuel Gas Price to Free Cash Flow Ratio Historical Data,National Fuel Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.42,,68.17
2024-06-30,53.73,$0.92,58.68
2024-03-31,52.77,$1.26,41.85
2023-12-31,48.82,$1.70,28.65
2023-09-30,50.02,$2.46,20.32
2023-06-30,49.03,$2.89,16.97
2023-03-31,54.59,$4.52,12.09
2022-12-31,59.35,$4.24,13.99
2022-09-30,57.29,$2.77,20.68
2022-06-30,61.01,$2.13,28.65
2022-03-31,63.01,$0.16,384.42
2021-12-31,58.26,$-0.26,0.0
2021-09-30,47.51,$0.43,109.4
2021-06-30,46.87,$1.19,39.44
2021-03-31,44.45,$1.19,37.47
2020-12-31,36.25,$0.87,41.74
2020-09-30,35.39,$0.28,126.26
2020-06-30,36.17,$-0.07,0.0
2020-03-31,31.82,$-0.61,0.0
2019-12-31,39.26,$-0.60,0.0
2019-09-30,39.21,$-1.09,0.0
2019-06-30,43.68,$-1.15,0.0
2019-03-31,50.06,$-0.04,0.0
2018-12-31,41.74,$0.68,61.17
2018-09-30,45.34,$1.00,45.15
2018-06-30,42.5,$1.94,21.95
2018-03-31,40.96,$1.56,26.18
2017-12-31,43.37,$2.06,21.06
2017-09-30,44.37,$3.03,14.64
2017-06-30,43.45,$3.67,11.85
2017-03-31,46.06,$2.99,15.39
2016-12-31,43.46,$2.89,15.06
2016-09-30,41.19,$1.71,24.15
2016-06-30,43.02,$-0.78,0.0
2016-03-31,37.57,$-1.42,0.0
2015-12-31,31.85,$-2.02,0.0
2015-09-30,36.89,$-1.95,0.0
2015-06-30,43.12,$-1.50,0.0
2015-03-31,43.89,$-1.49,0.0
2014-12-31,50.25,$-0.50,0.0
2014-09-30,50.32,$-0.06,0.0
2014-06-30,55.98,$0.91,61.69
2014-03-31,49.83,$1.70,29.39
2013-12-31,50.52,$0.40,125.18
2013-09-30,48.4,$0.42,116.25
2013-06-30,40.56,$-0.80,0.0
2013-03-31,42.66,$-2.25,0.0
2012-12-31,35.04,$-2.86,0.0
2012-09-30,37.1,$-4.49,0.0
2012-06-30,32.02,$-4.24,0.0
2012-03-31,32.55,$-2.49,0.0
2011-12-31,37.31,$-1.72,0.0
2011-09-30,32.47,$-1.16,0.0
2011-06-30,48.21,$-0.34,0.0
2011-03-31,48.76,$-0.67,0.0
2010-12-31,43.03,$-0.84,0.0
2010-09-30,33.79,$0.51,66.61
2010-06-30,29.72,$1.40,21.17
2010-03-31,32.5,$2.37,13.69
2009-12-31,31.94,$3.82,8.37
