YPF Sociedad Anonima Price to Free Cash Flow Ratio Historical Data,YPF Sociedad Anonima Price to Free Cash Flow Ratio Historical Data,YPF Sociedad Anonima Price to Free Cash Flow Ratio Historical Data,YPF Sociedad Anonima Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.02,,289.58
2024-06-30,20.12,$0.09,232.87
2024-03-31,19.8,$-0.23,0.0
2023-12-31,17.19,$0.61,28.06
2023-09-30,12.25,$0.65,18.99
2023-06-30,14.89,$1.84,8.09
2023-03-31,10.98,$3.30,3.33
2022-12-31,9.19,$4.30,2.14
2022-09-30,6.21,$6.18,1.01
2022-06-30,3.26,$4.82,0.68
2022-03-31,4.83,$4.72,1.02
2021-12-31,3.82,$4.59,0.83
2021-09-30,4.66,$4.92,0.95
2021-06-30,4.68,$5.16,0.91
2021-03-31,4.11,$4.45,0.92
2020-12-31,4.7,$3.42,1.37
2020-09-30,3.57,$3.51,1.02
2020-06-30,5.75,$3.38,1.7
2020-03-31,4.17,$2.58,1.62
2019-12-31,11.58,$2.94,3.94
2019-09-30,9.25,$2.99,3.09
2019-06-30,18.07,$2.18,8.27
2019-03-31,13.9,$3.39,4.1
2018-12-31,13.29,$3.33,3.99
2018-09-30,15.24,$2.76,5.52
2018-06-30,13.39,$1.98,6.78
2018-03-31,21.32,$1.09,19.61
2017-12-31,22.59,$1.90,11.89
2017-09-30,21.97,$0.68,32.18
2017-06-30,21.5,$1.72,12.49
2017-03-31,23.84,$0.11,225.74
2016-12-31,16.2,$-2.59,0.0
2016-09-30,17.89,$-4.26,0.0
2016-06-30,18.7,$-6.37,0.0
2016-03-31,17.42,$-6.27,0.0
2015-12-31,15.31,$-6.20,0.0
2015-09-30,14.84,$-16.52,0.0
2015-06-30,26.57,$-2.45,0.0
2015-03-31,26.59,$0.01,2272.26
2014-12-31,25.64,$-0.63,0.0
2014-09-30,35.83,$11.97,2.99
2014-06-30,31.52,$0.46,68.57
2014-03-31,30.05,$-1.86,0.0
2013-12-31,31.79,$-0.62,0.0
2013-09-30,19.41,$-0.99,0.0
2013-06-30,14.16,$-2.32,0.0
2013-03-31,13.71,$-0.78,0.0
2012-12-31,13.96,$0.50,27.69
2012-09-30,12.27,$0.67,18.25
2012-06-30,11.66,$1.95,5.97
2012-03-31,26.82,$0.85,31.38
2011-12-31,32.73,$0.30,110.14
2011-09-30,30.77,$2.88,10.67
2011-06-30,40.52,$1.97,20.61
2011-03-31,38.46,$2.83,13.57
2010-12-31,43.49,$2.61,16.69
2010-09-30,32.51,0,0.0
2010-06-30,32.45,0,0.0
2010-03-31,35.15,0,0.0
2009-12-31,35.36,0,0.0
