Energy Transfer LP Price to Free Cash Flow Ratio Historical Data,Energy Transfer LP Price to Free Cash Flow Ratio Historical Data,Energy Transfer LP Price to Free Cash Flow Ratio Historical Data,Energy Transfer LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.49,,5.83
2024-06-30,15.9,$2.83,5.62
2024-03-31,15.11,$2.91,5.19
2023-12-31,12.97,$2.21,5.87
2023-09-30,12.88,$2.64,4.88
2023-03-31,10.9,$2.14,5.1
2022-12-31,10.14,$1.86,5.46
2022-09-30,9.22,$2.01,4.58
2022-06-30,8.17,$2.01,4.07
2022-03-31,9.01,$1.94,4.65
2021-12-31,6.51,$3.06,2.13
2021-09-30,7.45,$2.23,3.35
2021-06-30,8.13,$2.40,3.38
2021-03-31,5.79,$2.37,2.44
2020-12-31,4.55,$0.75,6.07
2023-06-30,11.38,$1.33,8.57
2020-09-30,3.88,$0.65,5.98
2020-06-30,4.88,$0.64,7.58
2020-03-31,3.03,$0.87,3.47
2019-12-31,8.25,$0.72,11.39
2019-09-30,8.21,$1.07,7.71
2019-03-31,9.25,$-0.03,0.0
2018-12-31,7.78,$0.07,114.95
2018-09-30,10.08,$-1.02,0.0
2018-06-30,9.81,$-2.59,0.0
2018-03-31,7.94,$-2.58,0.0
2017-12-31,9.47,$-3.49,0.0
2017-09-30,9.38,$-6.13,0.0
2017-06-30,9.54,$-1.24,0.0
2017-03-31,10.31,$-1.75,0.0
2016-12-31,9.95,$-2.48,0.0
2019-06-30,8.64,$0.41,21.13
2016-09-30,8.48,$-4.80,0.0
2016-06-30,7.13,$-5.09,0.0
2016-03-31,3.46,$-5.18,0.0
2015-12-31,6.43,$-5.73,0.0
2015-09-30,9.61,$-5.16,0.0
2015-06-30,14.68,$-4.59,0.0
2015-03-31,14.39,$-3.33,0.0
2014-12-31,12.92,$-1.97,0.0
2014-09-30,13.8,$-1.47,0.0
2014-06-30,13.09,$-0.81,0.0
2014-03-31,10.3,$-0.61,0.0
2013-12-31,8.93,$-0.89,0.0
2013-09-30,7.12,$-1.37,0.0
2013-06-30,6.41,$-1.56,0.0
2013-03-31,6.19,$-1.84,0.0
2012-12-31,4.76,$-2.01,0.0
2012-09-30,4.66,$-1.49,0.0
2012-06-30,4.17,$-1.09,0.0
2012-03-31,4.03,$-1.08,0.0
2011-12-31,4.0,$-0.45,0.0
2011-09-30,3.37,$-0.36,0.0
2011-06-30,4.29,$-0.66,0.0
2011-03-31,4.24,$-0.67,0.0
2010-12-31,3.63,$-0.36,0.0
2010-09-30,3.41,$-0.17,0.0
2010-06-30,3.05,$0.04,84.76
2010-03-31,3.0,$0.22,13.34
2009-12-31,2.67,$-0.00,0.0
