Element Solutions Price to Free Cash Flow Ratio Historical Data,Element Solutions Price to Free Cash Flow Ratio Historical Data,Element Solutions Price to Free Cash Flow Ratio Historical Data,Element Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.52,,23.62
2024-06-30,27.04,$1.08,25.02
2024-03-31,24.91,$1.14,21.78
2023-12-31,22.99,$1.17,19.69
2023-09-30,19.41,$1.13,17.25
2023-06-30,18.93,$1.29,14.69
2023-03-31,18.96,$1.28,14.86
2022-12-31,17.79,$1.03,17.29
2022-09-30,15.84,$1.09,14.51
2022-06-30,17.26,$0.95,18.25
2022-03-31,21.16,$0.97,21.79
2021-12-31,23.38,$1.13,20.72
2021-09-30,20.8,$1.01,20.6
2021-06-30,22.38,$0.94,23.92
2021-03-31,17.46,$0.89,19.58
2020-12-31,16.88,$1.00,16.95
2020-09-30,9.97,$0.97,10.28
2020-06-30,10.29,$1.03,9.99
2020-03-31,7.93,$0.91,8.75
2019-12-31,11.08,$0.56,19.76
2019-09-30,9.66,$0.36,27.01
2019-06-30,9.81,$-0.03,0.0
2019-03-31,9.58,$-0.13,0.0
2018-12-31,9.8,$-0.09,0.0
2018-09-30,11.83,$-0.06,0.0
2018-06-30,11.0,$-0.12,0.0
2018-03-31,9.14,$0.20,45.0
2017-12-31,9.41,$-0.17,0.0
2017-09-30,10.58,$-0.32,0.0
2017-06-30,12.03,$0.19,62.62
2017-03-31,12.35,$0.27,45.68
2016-12-31,9.31,$-0.22,0.0
2016-09-30,7.69,$0.78,9.91
2016-06-30,8.42,$0.56,14.96
2016-03-31,8.16,$-0.09,0.0
2015-12-31,12.17,$0.99,12.24
2015-09-30,12.0,$0.18,66.67
2015-06-30,24.27,$0.19,127.65
2014-12-31,22.03,$0.59,37.11
2014-09-30,23.74,$1.10,21.54
2014-06-30,26.59,$0.88,30.25
