Kilroy Realty Price to Free Cash Flow Ratio Historical Data,Kilroy Realty Price to Free Cash Flow Ratio Historical Data,Kilroy Realty Price to Free Cash Flow Ratio Historical Data,Kilroy Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.78,,66.75
2024-06-30,30.74,$0.64,47.97
2024-03-31,35.32,$0.55,64.79
2023-12-31,38.05,$0.50,76.09
2023-09-30,29.8,$0.39,75.61
2023-06-30,27.89,$0.83,33.71
2023-03-31,29.5,$0.77,38.23
2022-12-31,34.62,$0.33,103.93
2022-09-30,37.18,$0.64,57.79
2022-06-30,45.61,$-4.98,0.0
2022-03-31,65.96,$-10.10,0.0
2021-12-31,56.98,$-1.99,0.0
2021-09-30,56.33,$-1.76,0.0
2021-06-30,58.79,$3.25,18.09
2021-03-31,55.01,$15.54,3.54
2020-12-31,47.76,$2.81,16.97
2020-09-30,42.85,$1.50,28.51
2020-06-30,47.95,$-0.18,0.0
2019-12-31,67.46,$-8.11,0.0
2019-09-30,62.26,$-2.87,0.0
2019-06-30,58.64,$-1.84,0.0
2019-03-31,59.94,$-3.95,0.0
2018-12-31,49.33,$-4.48,0.0
2018-09-30,55.83,$-6.22,0.0
2018-06-30,58.53,$-4.75,0.0
2018-03-31,54.58,$-1.60,0.0
2017-12-31,57.08,$0.24,236.63
2017-09-30,54.07,$-3.07,0.0
2017-06-30,56.79,$-3.54,0.0
2017-03-31,54.16,$-4.52,0.0
2016-12-31,54.73,$-2.37,0.0
2016-09-30,50.22,$2.10,23.95
2016-06-30,47.75,$0.34,139.81
2016-03-31,44.3,$1.94,22.79
2015-12-31,45.06,$0.34,133.81
2020-03-31,51.61,$-0.74,0.0
2015-09-30,46.14,$-2.31,0.0
2015-06-30,47.29,$-3.26,0.0
2015-03-31,53.37,$-5.36,0.0
2014-12-31,48.18,$-2.69,0.0
2014-09-30,41.25,$-2.49,0.0
2014-06-30,42.97,$-4.21,0.0
2014-03-31,40.19,$-2.97,0.0
2013-12-31,34.22,$-6.38,0.0
2013-09-30,33.83,$-6.27,0.0
2013-06-30,35.65,$-6.35,0.0
2013-03-31,35.01,$-8.41,0.0
2012-12-31,31.44,$-7.38,0.0
2012-09-30,29.5,$-6.86,0.0
2012-06-30,31.64,$-5.26,0.0
2012-03-31,30.24,$-9.14,0.0
2011-12-31,24.51,$-8.68,0.0
2011-09-30,19.97,$-12.46,0.0
2011-06-30,24.91,$-11.21,0.0
2011-03-31,24.28,$-12.19,0.0
2010-12-31,22.59,$-12.04,0.0
2010-09-30,20.34,$-6.20,0.0
2010-06-30,18.05,$-6.19,0.0
2010-03-31,18.52,$1.46,12.7
2009-12-31,18.21,$1.96,9.31
