Lazard Price to Free Cash Flow Ratio Historical Data,Lazard Price to Free Cash Flow Ratio Historical Data,Lazard Price to Free Cash Flow Ratio Historical Data,Lazard Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,53.59,,11.19
2024-06-30,38.18,$4.79,7.97
2024-03-31,41.87,$5.32,7.88
2023-12-31,34.8,$1.54,22.63
2023-09-30,30.48,$0.69,44.34
2023-06-30,30.99,$4.63,6.7
2023-03-31,31.52,$5.12,6.15
2022-12-31,32.58,$7.77,4.19
2022-09-30,29.49,$8.84,3.33
2022-06-30,29.63,$7.93,3.74
2022-03-31,31.09,$6.30,4.93
2021-12-31,38.85,$7.28,5.34
2021-09-30,40.38,$6.00,6.73
2021-06-30,39.51,$4.73,8.35
2021-03-31,37.61,$4.87,7.73
2020-12-31,36.16,$4.52,8.0
2020-09-30,27.88,$4.99,5.58
2020-06-30,23.79,$4.70,5.07
2020-03-31,19.24,$5.39,3.57
2019-12-31,32.28,$5.48,5.89
2019-09-30,27.93,$5.52,5.06
2019-06-30,27.09,$5.33,5.09
2019-03-31,28.47,$4.05,7.02
2018-12-31,28.34,$5.03,5.63
2018-09-30,36.57,$2.16,16.97
2018-06-30,36.86,$2.72,13.54
2018-03-31,39.28,$4.08,9.62
2017-12-31,38.03,$5.21,7.3
2017-09-30,32.47,$7.39,4.39
2017-06-30,32.97,$7.18,4.59
2017-03-31,32.42,$6.00,5.41
2016-12-31,27.94,$4.49,6.23
2016-09-30,24.48,$4.80,5.1
2016-06-30,19.83,$5.03,3.94
2016-03-31,25.56,$5.44,4.7
2015-12-31,28.22,$6.46,4.37
2015-09-30,26.95,$6.10,4.41
2015-06-30,34.78,$5.91,5.88
2015-03-31,32.31,$5.20,6.21
2014-12-31,29.96,$5.35,5.6
2014-09-30,30.17,$5.65,5.34
2014-06-30,30.51,$4.63,6.59
2014-03-31,27.69,$4.66,5.94
2013-12-31,26.47,$3.53,7.5
2013-09-30,20.78,$2.70,7.69
2013-06-30,18.42,$3.00,6.15
2013-03-31,19.41,$3.11,6.25
2012-12-31,16.97,$3.07,5.53
2012-09-30,16.31,$1.89,8.65
2012-06-30,14.39,$2.40,5.99
2012-03-31,15.7,$2.29,6.85
2011-12-31,14.27,$2.56,5.57
2011-09-30,11.47,$2.79,4.11
2011-06-30,20.06,$1.88,10.65
2011-03-31,22.39,$3.21,6.98
2010-12-31,21.21,$1.13,18.84
2010-09-30,18.77,$2.33,8.04
2010-06-30,14.24,$1.90,7.48
2010-03-31,18.97,$0.70,27.24
2009-12-31,20.11,$2.98,6.75
