Celestica Price to Free Cash Flow Ratio Historical Data,Celestica Price to Free Cash Flow Ratio Historical Data,Celestica Price to Free Cash Flow Ratio Historical Data,Celestica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,58.18,,19.98
2024-06-30,57.33,$2.91,19.69
2024-03-31,44.94,$2.99,15.02
2023-12-31,29.28,$2.55,11.46
2023-09-30,24.52,$2.23,10.99
2023-06-30,14.5,$2.00,7.26
2023-03-31,12.9,$1.70,7.59
2022-12-31,11.27,$1.53,7.37
2022-09-30,8.41,$1.37,6.13
2022-06-30,9.72,$1.43,6.81
2022-03-31,11.91,$1.27,9.38
2021-12-31,11.13,$1.40,7.96
2021-09-30,8.88,$1.24,7.16
2021-06-30,7.85,$1.14,6.89
2021-03-31,8.37,$1.19,7.03
2020-12-31,8.07,$1.46,5.52
2020-09-30,6.9,$1.63,4.23
2020-06-30,6.83,$2.10,3.26
2020-03-31,3.5,$2.24,1.56
2019-12-31,8.27,$2.89,2.86
2019-09-30,7.17,$2.36,3.04
2019-06-30,6.83,$1.86,3.66
2019-03-31,8.45,$1.02,8.32
2018-12-31,8.77,$-0.32,0.0
2018-09-30,10.83,$-0.04,0.0
2018-06-30,11.87,$-0.53,0.0
2018-03-31,10.35,$-0.03,0.0
2017-12-31,10.48,$0.17,60.37
2017-09-30,12.38,$0.50,24.91
2017-06-30,13.58,$1.44,9.4
2017-03-31,14.53,$1.08,13.51
2016-12-31,11.85,$0.77,15.47
2016-09-30,10.83,$0.81,13.35
2016-06-30,9.3,$0.33,27.96
2016-03-31,10.98,$0.65,16.86
2015-12-31,11.03,$1.02,10.86
2015-09-30,12.89,$0.86,14.98
2015-06-30,11.64,$1.18,9.83
2015-03-31,11.11,$1.25,8.9
2014-12-31,11.74,$1.03,11.35
2014-09-30,10.15,$0.80,12.73
2014-06-30,12.56,$0.34,37.35
2014-03-31,10.95,$0.38,28.55
2013-12-31,10.4,$0.55,19.04
2013-09-30,11.03,$1.22,9.07
2013-06-30,9.45,$1.11,8.49
2013-03-31,8.09,$0.93,8.72
2012-12-31,8.15,$1.06,7.7
2012-09-30,7.14,$1.03,6.91
2012-06-30,7.26,$1.55,4.69
2012-03-31,9.57,$1.12,8.54
2011-12-31,7.33,$0.69,10.61
2011-09-30,7.25,$0.06,120.43
2011-06-30,8.76,$-0.04,0.0
2011-03-31,10.72,$0.21,50.09
2010-12-31,9.7,$0.47,20.45
2010-09-30,8.43,$0.43,19.38
2010-06-30,8.06,$0.68,11.81
2010-03-31,10.93,$0.95,11.53
2009-12-31,9.44,$0.98,9.68
