Hecla Mining Price to Free Cash Flow Ratio Historical Data,Hecla Mining Price to Free Cash Flow Ratio Historical Data,Hecla Mining Price to Free Cash Flow Ratio Historical Data,Hecla Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.69,,0.0
2024-06-30,4.84,$-0.18,0.0
2024-03-31,4.79,$-0.27,0.0
2023-12-31,4.79,$-0.24,0.0
2023-09-30,3.89,$-0.18,0.0
2023-06-30,5.11,$-0.22,0.0
2023-03-31,6.28,$-0.16,0.0
2022-12-31,5.51,$-0.11,0.0
2022-09-30,3.9,$-0.03,0.0
2022-06-30,3.87,$0.12,32.55
2022-03-31,6.48,$0.21,31.17
2021-12-31,5.15,$0.21,24.82
2021-09-30,5.42,$0.22,24.84
2021-06-30,7.31,$0.28,26.2
2021-03-31,5.59,$0.23,24.3
2020-12-31,6.35,$0.17,37.16
2020-09-30,4.97,$0.18,27.12
2020-06-30,3.2,$0.15,21.24
2020-03-31,1.78,$-0.00,0.0
2019-12-31,3.31,$-0.00,0.0
2019-09-30,1.72,$-0.15,0.0
2019-06-30,1.75,$-0.23,0.0
2019-03-31,2.24,$-0.12,0.0
2018-12-31,2.29,$-0.09,0.0
2018-09-30,2.71,$0.02,136.02
2018-06-30,3.37,$0.06,60.12
2018-03-31,3.55,$0.00,0.0
2017-12-31,3.84,$0.05,83.91
2017-09-30,4.86,$0.03,164.06
2017-06-30,4.93,$0.13,37.38
2017-03-31,5.11,$0.24,21.33
2016-12-31,5.06,$0.16,32.36
2016-09-30,5.5,$0.10,56.16
2016-06-30,4.92,$-0.04,0.0
2016-03-31,2.68,$-0.11,0.0
2015-12-31,1.82,$-0.08,0.0
2015-09-30,1.9,$-0.07,0.0
2015-06-30,2.53,$-0.12,0.0
2015-03-31,2.86,$-0.13,0.0
2014-12-31,2.68,$-0.11,0.0
2014-09-30,2.38,$-0.16,0.0
2014-06-30,3.31,$-0.22,0.0
2014-03-31,2.94,$-0.33,0.0
2013-12-31,2.95,$-0.39,0.0
2013-09-30,3.0,$-0.41,0.0
2013-06-30,2.85,$-0.24,0.0
2013-03-31,3.77,$-0.25,0.0
2012-12-31,5.55,$-0.15,0.0
2012-09-30,6.21,$-0.53,0.0
2012-06-30,4.5,$-0.42,0.0
2012-03-31,4.36,$-0.13,0.0
2011-12-31,4.92,$-0.06,0.0
2011-09-30,5.02,$0.66,7.66
2011-06-30,7.21,$0.60,12.0
2011-03-31,8.51,$0.57,14.83
2010-12-31,10.56,$0.48,21.82
2010-09-30,5.92,$0.50,11.89
2010-06-30,4.89,$0.52,9.42
2010-03-31,5.13,$0.45,11.44
2009-12-31,5.79,$0.43,13.61
