Boot Barn Holdings Price to Free Cash Flow Ratio Historical Data,Boot Barn Holdings Price to Free Cash Flow Ratio Historical Data,Boot Barn Holdings Price to Free Cash Flow Ratio Historical Data,Boot Barn Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,166.38,,56.39
2024-06-30,128.93,$2.95,43.7
2024-03-31,95.15,$3.83,24.83
2023-12-31,76.76,$3.56,21.55
2023-09-30,81.19,$5.24,15.48
2023-06-30,84.69,$1.70,49.71
2023-03-31,76.64,$-1.17,0.0
2022-12-31,62.52,$-3.89,0.0
2022-09-30,58.46,$-3.71,0.0
2022-06-30,68.91,$-1.82,0.0
2022-03-31,94.79,$0.94,101.36
2021-12-31,123.05,$4.68,26.3
2021-09-30,88.87,$4.20,21.15
2021-06-30,84.05,$5.06,16.61
2021-03-31,62.31,$4.33,14.41
2020-12-31,43.36,$2.52,17.23
2020-09-30,28.14,$1.26,22.35
2020-06-30,21.56,$0.37,57.63
2020-03-31,12.93,$-0.41,0.0
2019-12-31,44.53,$0.50,88.79
2019-09-30,34.9,$0.49,71.55
2019-06-30,35.64,$1.01,35.41
2019-03-31,29.44,$1.24,23.74
2018-12-31,17.03,$1.18,14.45
2018-09-30,28.41,$1.24,22.85
2018-06-30,20.75,$1.39,14.93
2018-03-31,17.73,$0.72,24.67
2017-12-31,16.61,$0.80,20.82
2017-09-30,8.9,$0.40,22.44
2017-06-30,7.08,$0.44,16.13
2017-03-31,9.89,$0.70,14.13
2016-12-31,12.52,$0.79,15.9
2016-09-30,11.38,$0.66,17.23
2016-06-30,8.62,$-0.51,0.0
2016-03-31,9.4,$-0.12,0.0
2015-12-31,12.29,$0.39,31.46
2015-09-30,18.43,$-1.03,0.0
