FTI Consulting Price to Free Cash Flow Ratio Historical Data,FTI Consulting Price to Free Cash Flow Ratio Historical Data,FTI Consulting Price to Free Cash Flow Ratio Historical Data,FTI Consulting Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,229.71,,25.93
2024-06-30,215.53,$8.86,24.33
2024-03-31,210.29,$4.77,44.07
2023-12-31,199.15,$4.91,40.57
2023-09-30,178.41,$0.34,528.31
2023-06-30,190.2,$0.95,201.14
2023-03-31,197.35,$2.18,90.35
2022-12-31,158.8,$3.79,41.94
2022-09-30,165.71,$2.98,55.6
2022-06-30,180.85,$4.65,38.92
2022-03-31,157.22,$7.02,22.38
2021-12-31,153.42,$8.12,18.9
2021-09-30,134.7,$7.67,17.57
2021-06-30,136.61,$5.51,24.78
2021-03-31,140.11,$6.34,22.1
2020-12-31,111.72,$7.87,14.2
2020-09-30,105.97,$6.43,16.48
2020-06-30,114.55,$7.00,16.37
2020-03-31,119.77,$4.11,29.17
2019-12-31,110.66,$4.62,23.95
2019-09-30,105.99,$4.98,21.27
2019-06-30,83.84,$4.54,18.48
2019-03-31,76.82,$4.29,17.93
2018-12-31,66.64,$5.18,12.87
2018-09-30,73.19,$4.35,16.82
2018-06-30,60.48,$4.03,15.0
2018-03-31,48.41,$3.30,14.65
2017-12-31,42.96,$2.95,14.56
2017-09-30,35.48,$4.32,8.22
2017-06-30,34.96,$3.45,10.12
2017-03-31,41.17,$2.51,16.43
2016-12-31,45.08,$7.06,6.38
2016-06-30,40.68,$4.45,9.14
2016-03-31,35.51,$3.10,11.46
2015-12-31,34.66,$2.60,13.33
2015-09-30,41.51,$3.08,13.47
2015-06-30,41.24,$3.63,11.36
2015-03-31,37.46,$4.02,9.32
2014-12-31,38.63,$2.36,16.36
2014-09-30,34.96,$1.46,23.95
2014-06-30,37.82,$-0.65,0.0
2014-03-31,33.34,$0.60,55.34
2013-12-31,41.14,$4.08,10.08
2016-09-30,44.56,$2.11,21.13
2013-09-30,37.8,$4.53,8.35
2013-06-30,32.89,$4.11,8.0
2013-03-31,37.66,$3.50,10.75
2012-12-31,33.0,$2.29,14.39
2012-09-30,26.68,$2.59,10.31
2012-06-30,28.75,$2.19,13.13
2012-03-31,37.52,$2.80,13.42
2011-12-31,42.42,$3.28,12.92
2011-09-30,36.81,$2.42,15.21
2011-06-30,37.94,$2.81,13.51
2011-03-31,38.33,$3.33,11.51
2010-12-31,37.28,$3.62,10.3
2010-09-30,34.69,$3.21,10.82
2010-06-30,43.59,$3.80,11.46
2010-03-31,39.32,$3.78,10.41
2009-12-31,47.16,$4.18,11.28
