Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.01,,2.8
2024-06-30,13.64,$4.64,2.94
2024-03-31,14.9,$4.93,3.02
2023-12-31,15.28,$5.33,2.87
2023-09-30,13.71,$5.65,2.43
2023-06-30,12.37,$5.98,2.07
2023-03-31,9.28,$6.91,1.34
2022-12-31,9.29,$6.90,1.35
2022-09-30,11.08,$6.77,1.64
2022-06-30,10.63,$8.37,1.27
2022-03-31,13.98,$7.04,1.98
2021-12-31,10.11,$7.43,1.36
2021-09-30,10.0,$6.94,1.44
2021-03-31,8.25,$4.35,1.89
2020-09-30,6.8,$4.46,1.52
2020-03-31,5.21,$3.03,1.72
2019-12-31,14.42,$2.61,5.52
2019-09-30,12.45,$3.50,3.55
2019-06-30,13.36,$2.82,4.73
2019-03-31,13.39,$2.70,4.97
2018-12-31,10.85,$3.10,3.5
2018-09-30,9.47,$0.12,78.7
2018-06-30,7.98,$1.79,4.46
2018-03-31,11.71,$2.27,5.16
2017-12-31,8.86,$2.07,4.29
2017-09-30,8.71,$4.25,2.05
2017-06-30,6.72,$3.15,2.13
2017-03-31,8.31,$2.81,2.95
2016-12-31,7.94,$2.18,3.64
2016-09-30,7.49,$1.69,4.44
2016-06-30,5.24,$1.01,5.18
2016-03-31,4.08,$0.86,4.74
2015-12-31,3.06,$0.70,4.38
2015-09-30,3.32,$0.55,5.99
2015-06-30,7.35,$0.70,10.47
2015-03-31,5.49,$0.01,457.35
2014-12-31,6.83,$-0.66,0.0
2014-09-30,13.42,$-2.33,0.0
2014-06-30,14.09,$-3.22,0.0
2014-03-31,11.73,$-3.34,0.0
2013-12-31,12.42,$-2.89,0.0
2013-09-30,14.14,$-2.40,0.0
2013-06-30,12.39,$-2.11,0.0
2013-03-31,15.1,$-2.23,0.0
2012-12-31,16.07,$-1.98,0.0
2012-09-30,18.36,$-6.07,0.0
2012-06-30,15.09,$-1.50,0.0
2012-03-31,21.08,$-0.97,0.0
2011-12-31,19.15,$-1.18,0.0
2011-09-30,16.77,$4.41,3.81
2011-06-30,24.64,$-1.84,0.0
2011-03-31,28.2,$-2.16,0.0
2010-12-31,26.99,$-2.90,0.0
2010-09-30,25.65,$-3.76,0.0
2010-06-30,23.15,$-2.28,0.0
2010-03-31,30.47,$-2.79,0.0
2009-12-31,32.63,$-1.91,0.0
