American Noble Gas Price to Free Cash Flow Ratio Historical Data,American Noble Gas Price to Free Cash Flow Ratio Historical Data,American Noble Gas Price to Free Cash Flow Ratio Historical Data,American Noble Gas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.66,,28.68
2024-06-30,18.62,$0.79,23.56
2024-03-31,17.58,$0.70,25.28
2023-12-31,18.02,$0.66,27.22
2023-09-30,16.56,$0.64,25.91
2023-06-30,15.55,$0.62,25.18
2023-03-31,16.66,$0.61,27.53
2022-12-31,17.2,$0.61,28.11
2022-09-30,16.03,$0.65,24.77
2022-06-30,17.49,$0.68,25.81
2022-03-31,23.27,$0.72,32.13
2021-12-31,23.66,$0.73,32.22
2021-09-30,20.62,$0.74,27.75
2021-06-30,19.63,$0.73,26.86
2021-03-31,17.17,$0.70,24.54
2020-12-31,15.54,$0.65,23.96
2020-09-30,12.53,$0.63,20.02
2020-06-30,8.77,$0.56,15.6
2020-03-31,7.35,$0.50,14.6
2019-12-31,9.24,$0.47,19.53
2019-09-30,10.05,$0.44,22.99
2019-06-30,9.46,$0.43,22.25
2019-03-31,9.53,$0.44,21.68
2018-12-31,8.25,$0.43,19.3
2018-09-30,8.73,$0.44,20.01
2018-06-30,8.34,$0.44,19.11
2018-03-31,7.47,$0.43,17.32
2017-12-31,6.79,$0.43,15.66
2017-09-30,6.02,$0.40,14.99
2017-06-30,6.2,$0.42,14.76
2017-03-31,6.43,$0.37,17.41
2016-12-31,6.03,$0.37,16.34
2016-09-30,6.35,$0.35,18.1
2016-06-30,7.19,$0.34,21.42
2016-03-31,7.57,$0.32,23.89
2015-12-31,6.67,$0.19,34.96
2015-09-30,7.54,$0.22,33.87
2015-06-30,6.26,$0.27,23.08
2015-03-31,6.82,$0.30,22.45
2014-12-31,6.12,$0.43,14.1
2014-09-30,5.84,$0.39,14.98
2014-06-30,5.19,$0.35,14.73
2014-03-31,5.16,$0.34,15.2
2013-12-31,5.39,$0.30,17.71
2013-09-30,4.56,$0.32,14.31
2013-06-30,3.9,$0.30,12.9
2013-03-31,5.04,$0.30,17.01
2012-12-31,3.96,$0.29,13.45
2012-09-30,4.51,$0.30,15.18
2012-06-30,4.19,$0.30,14.03
2012-03-31,5.23,$0.30,17.32
2011-12-31,4.71,$0.28,16.98
2011-09-30,4.66,$0.25,18.56
2011-06-30,5.95,$0.23,25.99
2011-03-31,6.49,$0.22,29.28
2010-12-31,6.89,$0.24,28.2
2010-09-30,6.01,$0.25,24.24
2010-06-30,5.35,$0.27,19.64
2010-03-31,5.22,$0.29,18.14
2009-12-31,4.91,$0.47,10.4
