Meritage Homes Price to Free Cash Flow Ratio Historical Data,Meritage Homes Price to Free Cash Flow Ratio Historical Data,Meritage Homes Price to Free Cash Flow Ratio Historical Data,Meritage Homes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,201.92,,0.0
2024-06-30,161.25,$-1.77,0.0
2024-03-31,174.01,$7.52,23.15
2023-12-31,171.92,$8.57,20.05
2023-09-30,120.61,$26.90,4.48
2023-06-30,139.91,$25.15,5.56
2023-03-31,114.59,$13.17,8.7
2022-12-31,90.25,$10.21,8.84
2022-09-30,68.79,$-2.79,0.0
2022-06-30,70.97,$-6.55,0.0
2022-03-31,77.56,$-3.98,0.0
2021-12-31,119.48,$-4.63,0.0
2021-09-30,94.95,$-3.03,0.0
2021-06-30,92.1,$3.31,27.84
2021-03-31,89.98,$11.79,7.63
2020-12-31,81.07,$13.28,6.1
2020-09-30,108.06,$13.83,7.82
2020-06-30,74.51,$11.65,6.4
2020-03-31,35.74,$8.60,4.16
2019-12-31,59.82,$8.30,7.21
2019-09-30,68.87,$8.22,8.38
2019-06-30,50.26,$8.86,5.67
2019-03-31,43.77,$8.80,4.97
2018-12-31,35.95,$10.05,3.58
2018-09-30,39.06,$4.47,8.73
2018-06-30,43.02,$1.42,30.28
2017-12-31,50.12,$-2.48,0.0
2017-09-30,43.46,$-3.48,0.0
2017-06-30,41.31,$-3.29,0.0
2017-03-31,36.02,$-2.85,0.0
2016-12-31,34.07,$-2.81,0.0
2016-09-30,33.97,$-2.67,0.0
2016-06-30,36.75,$-1.23,0.0
2016-03-31,35.69,$-1.46,0.0
2015-12-31,33.27,$-0.46,0.0
2015-09-30,35.75,$-2.13,0.0
2015-06-30,46.1,$-2.25,0.0
2015-03-31,47.61,$-2.78,0.0
2018-03-31,44.3,$-2.84,0.0
2014-12-31,35.23,$-5.57,0.0
2014-09-30,34.75,$-7.05,0.0
2014-06-30,41.32,$-6.14,0.0
2014-03-31,41.0,$-5.64,0.0
2013-12-31,46.98,$-2.41,0.0
2013-09-30,42.04,$-3.94,0.0
2013-06-30,42.45,$-3.94,0.0
2013-03-31,45.87,$-4.89,0.0
2012-12-31,36.56,$-6.58,0.0
2012-09-30,37.23,$-4.66,0.0
2012-06-30,33.22,$-4.67,0.0
2012-03-31,26.49,$-3.46,0.0
2011-12-31,22.7,$-2.51,0.0
2011-09-30,14.82,$-1.96,0.0
2011-06-30,22.08,$-2.01,0.0
2011-03-31,23.62,$-1.30,0.0
2010-12-31,21.73,$0.81,26.72
2010-09-30,19.21,$1.89,10.17
2010-06-30,15.94,$1.77,8.99
2010-03-31,20.56,$2.58,7.97
2009-12-31,18.92,$5.76,3.28
