Mueller Industries Price to Free Cash Flow Ratio Historical Data,Mueller Industries Price to Free Cash Flow Ratio Historical Data,Mueller Industries Price to Free Cash Flow Ratio Historical Data,Mueller Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.0,,12.94
2024-06-30,56.77,$5.72,9.93
2024-03-31,53.77,$5.93,9.07
2023-12-31,46.83,$5.45,8.6
2023-09-30,37.19,$5.78,6.43
2023-06-30,43.02,$6.41,6.71
2023-03-31,36.07,$6.50,5.55
2022-12-31,28.84,$6.14,4.7
2022-09-30,28.95,$5.48,5.28
2022-06-30,25.86,$4.22,6.13
2022-03-31,26.17,$3.31,7.9
2021-12-31,28.55,$2.48,11.49
2021-09-30,19.72,$1.69,11.68
2021-06-30,20.72,$0.65,31.81
2021-03-31,19.73,$1.42,13.86
2020-12-31,16.7,$1.79,9.35
2020-09-30,12.83,$2.02,6.34
2020-06-30,12.56,$2.15,5.85
2020-03-31,11.28,$1.91,5.91
2019-12-31,14.89,$1.53,9.72
2019-09-30,13.41,$1.20,11.13
2019-06-30,13.63,$1.43,9.54
2019-03-31,14.54,$1.29,11.31
2018-12-31,10.8,$1.29,8.36
2018-09-30,13.35,$0.92,14.46
2018-06-30,13.55,$0.56,24.24
2018-03-31,11.97,$0.14,82.6
2017-12-31,16.15,$0.26,63.09
2017-09-30,15.89,$1.03,15.38
2017-06-30,13.8,$0.87,15.88
2017-03-31,15.46,$0.94,16.42
2016-12-31,18.0,$1.14,15.76
2016-09-30,14.57,$1.03,14.08
2016-06-30,14.28,$1.43,10.0
2016-03-31,13.14,$1.26,10.41
2015-12-31,12.07,$1.20,10.09
2015-09-30,13.14,$1.61,8.17
2015-06-30,15.39,$1.38,11.14
2015-03-31,15.98,$1.16,13.82
2014-12-31,15.07,$0.75,20.07
2014-09-30,12.57,$0.28,44.9
2014-06-30,12.92,$0.51,25.5
2014-03-31,13.14,$1.11,11.84
2013-12-31,13.77,$1.35,10.21
2013-09-30,12.14,$1.07,11.36
2013-06-30,10.97,$0.67,16.31
2013-03-31,11.56,$0.30,38.42
2012-12-31,10.83,$0.36,29.79
2012-09-30,9.82,$0.72,13.72
2012-06-30,9.17,$1.17,7.84
2012-03-31,9.77,$0.63,15.53
2011-12-31,8.24,$0.90,9.19
2011-09-30,8.25,$0.32,26.03
2011-06-30,8.09,$-0.22,0.0
2011-03-31,7.79,$0.17,44.76
2010-12-31,6.94,$0.25,27.76
2010-09-30,5.6,$0.24,23.05
2010-06-30,5.18,$0.19,27.36
2010-03-31,5.62,$0.44,12.9
2009-12-31,5.19,$0.43,12.13
